date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-10,2108756681778.61,1.5336,,,,,15.5277,,,,,1.5379,,,,,16.6095,,,,,0.0483,2.0028,,,,
2026-06-09,2078188706849.98,1.5113,,,,,15.3026,,,,,1.5156,,,,,16.3687,,,,,0.0490,1.9738,,,,
2026-06-08,2094231473833.8,1.5230,,,,,15.4208,,,,,1.5273,,,,,16.4951,,,,,0.0486,1.9890,,,,
2026-06-05,2110057446669.19,1.5345,,,,,15.5373,,,,,1.5388,,,,,16.6197,,,,,0.0482,2.0040,,,,
2026-06-04,2171410190674.88,1.5262,,,,,15.9891,,,,,1.5304,,,,,17.1030,,,,,0.0469,2.0623,,,,
2026-06-03,2171410190674.88,1.5262,,,,,15.9891,,,,,1.5304,,,,,17.1030,,,,,0.0469,2.0623,,,,
2026-06-02,2177046838534.06,1.5301,,,,,16.0306,,,,,1.5343,,,,,17.1474,,,,,0.0468,2.0677,,,,
2026-06-01,2144094127972.7,1.5070,,,,,15.7879,,,,,1.5111,,,,,16.8878,,,,,0.0475,2.0364,,,,
2026-05-29,2147419143472.4,1.5093,,,,,15.8124,,,,,1.5134,,,,,16.9140,,,,,0.0474,2.0395,,,,
2026-05-28,2127483466257.5205,1.4953,,,,,15.6656,,,,,1.4994,,,,,16.7570,,,,,0.0478,2.0206,,,,
2026-05-27,2114481937639.12,1.4862,,,,,15.5699,,,,,1.4902,,,,,16.6546,,,,,0.0481,2.0082,,,,
2026-05-26,2106030944037.16,1.4802,,,,,15.5076,,,,,1.4843,,,,,16.5880,,,,,0.0483,2.0002,,,,
2026-05-25,2093679491849.68,1.4716,,,,,15.4167,,,,,1.4756,,,,,16.4907,,,,,0.0486,1.9885,,,,
2026-05-22,2079811194656.72,1.4618,,,,,15.3146,,,,,1.4658,,,,,16.3815,,,,,0.0489,1.9753,,,,
2026-05-21,2096496489717.0,1.4735,,,,,15.4374,,,,,1.4776,,,,,16.5129,,,,,0.0486,1.9912,,,,
2026-05-20,2148719296334.24,1.5102,,,,,15.8220,,,,,1.5144,,,,,16.9242,,,,,0.0474,2.0408,,,,
2026-05-19,2188590650764.0,1.5383,,,,,16.1156,,,,,1.5425,,,,,17.2383,,,,,0.0465,2.0786,,,,
2026-05-18,2174505661427.4,1.5284,,,,,16.0119,,,,,1.5325,,,,,17.1274,,,,,0.0468,2.0652,,,,
2026-05-15,2122932931241.08,1.4921,,,,,15.6321,,,,,1.4962,,,,,16.7211,,,,,0.0479,2.0163,,,,
2026-05-14,2135067691284.92,1.5006,,,,,15.7215,,,,,1.5047,,,,,16.8167,,,,,0.0479,2.0278,,,,
2026-05-13,2121199394091.96,1.4909,,,,,15.6193,,,,,1.4950,,,,,16.7075,,,,,0.0482,2.0146,,,,
2026-05-12,2109931402622.68,1.4830,,,,,15.5364,,,,,1.4870,,,,,16.6187,,,,,0.0485,2.0039,,,,
2026-05-11,2116648859075.5205,1.4877,,,,,15.5858,,,,,1.4918,,,,,16.6716,,,,,0.0483,2.0103,,,,
2026-05-08,2094979644711.5205,1.4725,,,,,15.4263,,,,,1.4765,,,,,16.5010,,,,,0.0488,1.9897,,,,
2026-05-07,2080677963231.28,1.4624,,,,,15.3210,,,,,1.4664,,,,,16.3883,,,,,0.0491,1.9761,,,,
2026-05-06,2097363258291.56,1.4741,,,,,15.4438,,,,,1.4782,,,,,16.5197,,,,,0.0487,1.9920,,,,
2026-04-30,2093896183993.32,1.4717,,,,,15.4183,,,,,1.4757,,,,,16.4924,,,,,0.0488,1.9887,,,,
2026-04-29,2091025790676.6,1.4697,,,,,15.3972,,,,,1.4737,,,,,16.4698,,,,,0.0489,1.9860,,,,
2026-04-28,2079763922099.16,1.4618,,,,,15.3142,,,,,1.4658,,,,,16.3811,,,,,0.0492,1.9753,,,,
2026-04-27,2068285479126.0,1.4537,,,,,15.2297,,,,,1.4577,,,,,16.2907,,,,,0.0494,1.9644,,,,
2026-04-24,2066986032751.68,1.4528,,,,,15.2201,,,,,1.4568,,,,,16.2805,,,,,0.0495,1.9631,,,,
2026-04-23,2075865582976.2,1.4590,,,,,15.2855,,,,,1.4630,,,,,16.3504,,,,,0.0493,1.9716,,,,
2026-04-22,2075215859789.04,1.4586,,,,,15.2807,,,,,1.4626,,,,,16.3453,,,,,0.0493,1.9709,,,,
2026-04-21,2093408109029.52,1.4714,,,,,15.4147,,,,,1.4754,,,,,16.4886,,,,,0.0488,1.9882,,,,
2026-04-20,2020639112067.6,1.4504,,,,,14.7390,,,,,1.4545,,,,,15.7911,,,,,0.0506,1.9241,,,,
2026-04-17,2024320876794.84,1.4530,,,,,14.7658,,,,,1.4572,,,,,15.8198,,,,,0.0505,1.9276,,,,
2026-04-16,2028435790313.52,1.4560,,,,,14.7958,,,,,1.4601,,,,,15.8520,,,,,0.0504,1.9315,,,,
2026-04-15,2029518662292.12,1.4568,,,,,14.8037,,,,,1.4609,,,,,15.8604,,,,,0.0504,1.9325,,,,
2026-04-14,2026053471960.6,1.4543,,,,,14.7785,,,,,1.4584,,,,,15.8334,,,,,0.0505,1.9292,,,,
2026-04-13,2028435790313.52,1.4560,,,,,14.7958,,,,,1.4601,,,,,15.8520,,,,,0.0504,1.9315,,,,
2026-04-10,2035799319768.0,1.4613,,,,,14.8496,,,,,1.4654,,,,,15.9095,,,,,0.0502,1.9385,,,,
2026-04-09,2028002641522.08,1.4557,,,,,14.7927,,,,,1.4598,,,,,15.8486,,,,,0.0531,1.9311,,,,
2026-04-08,2035582745372.28,1.4611,,,,,14.8480,,,,,1.4653,,,,,15.9078,,,,,0.0529,1.9383,,,,
2026-04-07,2022371707233.36,1.4516,,,,,14.7516,,,,,1.4558,,,,,15.8046,,,,,0.0532,1.9257,,,,
2026-04-03,2014575028987.44,1.4460,,,,,14.6947,,,,,1.4502,,,,,15.7437,,,,,0.0534,1.9183,,,,
2026-04-02,2020205963276.16,1.4501,,,,,14.7358,,,,,1.4542,,,,,15.7877,,,,,0.0533,1.9237,,,,
2026-04-01,2032550703832.2,1.4589,,,,,14.8259,,,,,1.4631,,,,,15.8841,,,,,0.0529,1.9354,,,,
2026-03-31,2031251257457.88,1.4580,,,,,14.8164,,,,,1.4622,,,,,15.8740,,,,,0.0530,1.9342,,,,
2026-03-30,2022476695965.4,1.4517,,,,,14.7524,,,,,1.4558,,,,,15.8054,,,,,0.0532,1.9258,,,,
2026-03-27,2022909774487.02,1.4520,,,,,14.7555,,,,,1.4562,,,,,15.8088,,,,,0.0532,1.9262,,,,
2026-03-26,2032654041223.4705,1.4875,,,,,14.2298,,,,,1.4942,,,,,15.7186,,,,,0.0557,1.9470,,,,
2026-03-25,2032220962701.85,1.4872,,,,,14.2268,,,,,1.4939,,,,,15.7153,,,,,0.0557,1.9466,,,,
2026-03-24,2032870580484.28,1.4877,,,,,14.2313,,,,,1.4943,,,,,15.7203,,,,,0.0509,1.9473,,,,
2026-03-23,2019661685574.87,1.4780,,,,,14.1388,,,,,1.4846,,,,,15.6182,,,,,0.0513,1.9346,,,,
2026-03-20,2084190385296.25,1.5252,,,,,14.5906,,,,,1.5321,,,,,16.1172,,,,,0.0497,1.9964,,,,
2026-03-19,2134860572325.79,1.5623,,,,,14.9453,,,,,1.5693,,,,,16.5090,,,,,0.0485,2.0450,,,,
2026-03-18,2117320892200.18,1.5495,,,,,14.8225,,,,,1.5564,,,,,16.3734,,,,,0.0489,2.0281,,,,
2026-03-17,2116454735156.94,1.5488,,,,,14.8164,,,,,1.5558,,,,,16.3667,,,,,0.0489,2.0273,,,,
2026-03-16,2115588578113.7,1.5482,,,,,14.8104,,,,,1.5551,,,,,16.3600,,,,,0.0489,2.0265,,,,
2026-03-13,2119702824069.09,1.5512,,,,,14.8392,,,,,1.5582,,,,,16.3918,,,,,0.0489,2.0304,,,,
2026-03-12,2088304631251.64,1.5282,,,,,14.6194,,,,,1.5351,,,,,16.1490,,,,,0.0496,2.0004,,,,
2026-03-11,2091552720163.79,1.5306,,,,,14.6421,,,,,1.5375,,,,,16.1741,,,,,0.0495,2.0035,,,,
2026-03-10,2065784548127.4,1.5117,,,,,14.4617,,,,,1.5185,,,,,15.9748,,,,,0.0501,1.9788,,,,
2026-03-09,2061670302172.0095,1.5087,,,,,14.4329,,,,,1.5155,,,,,15.9430,,,,,0.0502,1.9748,,,,
2026-03-06,2070331872604.41,1.5151,,,,,14.4936,,,,,1.5219,,,,,16.0100,,,,,0.0500,1.9831,,,,
2026-03-05,2070331872604.41,1.5151,,,,,14.4936,,,,,1.5219,,,,,16.0100,,,,,0.0500,1.9831,,,,
2026-03-04,2044347161307.21,1.4961,,,,,14.3116,,,,,1.5028,,,,,15.8090,,,,,0.0507,1.9582,,,,
2026-03-03,2070764951126.0295,1.5154,,,,,14.4966,,,,,1.5222,,,,,16.0133,,,,,0.0500,1.9836,,,,
2026-03-02,2069682254821.98,1.5146,,,,,14.4890,,,,,1.5214,,,,,16.0050,,,,,0.0500,1.9825,,,,
2026-02-27,2041917227545.84,1.4943,,,,,14.2946,,,,,1.5010,,,,,15.7903,,,,,0.0507,1.9559,,,,
2026-02-26,2034555846384.08,1.4889,,,,,14.2431,,,,,1.4956,,,,,15.7333,,,,,0.0509,1.9489,,,,
2026-02-25,2040185137860.72,1.4930,,,,,14.2825,,,,,1.4997,,,,,15.7769,,,,,0.0508,1.9543,,,,
2026-02-24,2049711631128.88,1.5000,,,,,14.3492,,,,,1.5067,,,,,15.8505,,,,,0.0505,1.9634,,,,
2026-02-13,2005110321737.04,1.4673,,,,,14.0370,,,,,1.4739,,,,,15.5056,,,,,0.0516,1.9207,,,,
2026-02-12,2019833084060.56,1.4781,,,,,14.1400,,,,,1.4847,,,,,15.6195,,,,,0.0513,1.9348,,,,
2026-02-11,2038453048175.6,1.4917,,,,,14.2704,,,,,1.4984,,,,,15.7635,,,,,0.0508,1.9526,,,,
2026-02-10,2031957711856.4,1.4870,,,,,14.2249,,,,,1.4937,,,,,15.7132,,,,,0.0510,1.9464,,,,
2026-02-09,2040401649071.36,1.4932,,,,,14.2840,,,,,1.4999,,,,,15.7785,,,,,0.0508,1.9545,,,,
2026-02-06,2059238124397.04,1.5070,,,,,14.4159,,,,,1.5137,,,,,15.9242,,,,,0.0503,1.9725,,,,
2026-02-05,2064650904663.04,1.5109,,,,,14.4538,,,,,1.5177,,,,,15.9661,,,,,0.0502,1.9777,,,,
2026-02-04,2055340922605.5205,1.5041,,,,,14.3886,,,,,1.5108,,,,,15.8941,,,,,0.0504,1.9688,,,,
2026-02-03,1993418716362.4795,1.4588,,,,,13.9551,,,,,1.4653,,,,,15.4152,,,,,0.0519,1.9095,,,,
2026-02-02,2006192877790.24,1.4681,,,,,14.0445,,,,,1.4747,,,,,15.5140,,,,,0.0516,1.9217,,,,
2026-01-30,2086107185264.56,1.5266,,,,,14.6040,,,,,1.5335,,,,,16.1320,,,,,0.0496,1.9983,,,,
2026-01-29,2099093949231.76,1.5361,,,,,14.6949,,,,,1.5430,,,,,16.2324,,,,,0.0493,2.0107,,,,
2026-01-28,2071388852768.4,1.5158,,,,,14.5010,,,,,1.5226,,,,,16.0182,,,,,0.0500,1.9842,,,,
2026-01-27,2040220619247.12,1.4930,,,,,14.2828,,,,,1.4997,,,,,15.7771,,,,,0.0508,1.9543,,,,
2026-01-26,2051908706817.6,1.5016,,,,,14.3646,,,,,1.5083,,,,,15.8675,,,,,0.0505,1.9655,,,,
2026-01-23,2064462578652.56,1.5108,,,,,14.4525,,,,,1.5176,,,,,15.9646,,,,,0.0502,1.9775,,,,
2026-01-22,2083293386405.0,1.5246,,,,,14.5843,,,,,1.5314,,,,,16.1102,,,,,0.0497,1.9956,,,,
2026-01-21,2080912479677.68,1.5228,,,,,14.5676,,,,,1.5296,,,,,16.0918,,,,,0.0498,1.9933,,,,
2026-01-20,2106453115479.84,1.5415,,,,,14.7464,,,,,1.5484,,,,,16.2893,,,,,0.0492,2.0177,,,,
2026-01-19,2088704538058.0,1.5285,,,,,14.6222,,,,,1.5354,,,,,16.1521,,,,,0.0496,2.0007,,,,
2026-01-16,2083942724603.36,1.5250,,,,,14.5888,,,,,1.5319,,,,,16.1152,,,,,0.0497,1.9962,,,,
2026-01-15,2101691302025.2,1.5380,,,,,14.7131,,,,,1.5449,,,,,16.2525,,,,,0.0493,2.0132,,,,
2026-01-14,2143465392786.36,1.5686,,,,,15.0055,,,,,1.5756,,,,,16.5755,,,,,0.0483,2.0532,,,,
2026-01-13,2168356690390.16,1.5868,,,,,15.1798,,,,,1.5939,,,,,16.7680,,,,,0.0478,2.0770,,,,
2026-01-12,2173118503844.8,1.5903,,,,,15.2131,,,,,1.5974,,,,,16.8048,,,,,0.0477,2.0816,,,,
2026-01-09,2167058013993.44,1.5859,,,,,15.1707,,,,,1.5930,,,,,16.7580,,,,,0.0478,2.0758,,,,
2026-01-08,2167058013993.44,1.5859,,,,,15.1707,,,,,1.5930,,,,,16.7580,,,,,0.0478,2.0758,,,,
2026-01-07,2170954043183.6,1.5887,,,,,15.1980,,,,,1.5958,,,,,16.7881,,,,,0.0477,2.0795,,,,
2026-01-06,2178746101563.92,1.5944,,,,,15.2525,,,,,1.6016,,,,,16.8484,,,,,0.0475,2.0870,,,,
2026-01-05,2177014533034.96,1.5931,,,,,15.2404,,,,,1.6003,,,,,16.8350,,,,,0.0476,2.0853,,,,
2025-12-31,2187187498142.6,1.6006,,,,,15.3116,,,,,1.6078,,,,,16.9136,,,,,0.0473,2.0951,,,,
2025-12-30,2171632860794.2495,1.5892,,,,,15.2027,,,,,1.5963,,,,,16.7934,,,,,0.0477,2.0802,,,,
2025-12-29,2176610195701.9,1.5928,,,,,15.2376,,,,,1.6000,,,,,16.8318,,,,,0.0476,2.0849,,,,
2025-12-26,2182236748206.2,1.5970,,,,,15.2770,,,,,1.6041,,,,,16.8754,,,,,0.0475,2.0903,,,,
2025-12-25,2175095354643.05,1.5917,,,,,15.2270,,,,,1.5989,,,,,16.8201,,,,,0.0476,2.0835,,,,
2025-12-24,2196952347063.6,1.6077,,,,,15.3800,,,,,1.6149,,,,,16.9892,,,,,0.0471,2.1044,,,,
2025-12-23,2185482836189.45,1.5993,,,,,15.2997,,,,,1.6065,,,,,16.9005,,,,,0.0474,2.0934,,,,
2025-12-22,2189161735903.8,1.6020,,,,,15.3254,,,,,1.6092,,,,,16.9289,,,,,0.0473,2.0970,,,,
2025-12-19,2210802322458.8,1.6179,,,,,15.4769,,,,,1.6251,,,,,17.0963,,,,,0.0468,2.1177,,,,
2025-12-18,2205175769954.5,1.6138,,,,,15.4375,,,,,1.6210,,,,,17.0527,,,,,0.0470,2.1123,,,,
2025-12-17,2214048410442.0503,1.6202,,,,,15.4997,,,,,1.6275,,,,,17.1214,,,,,0.0468,2.1208,,,,
2025-12-16,2228764009299.4497,1.6310,,,,,15.6027,,,,,1.6383,,,,,17.2352,,,,,0.0465,2.1349,,,,
2025-12-15,2224868703719.5503,1.6282,,,,,15.5754,,,,,1.6355,,,,,17.2050,,,,,0.0465,2.1312,,,,
2025-12-12,2258411612879.8,1.6527,,,,,15.8102,,,,,1.6601,,,,,17.4644,,,,,0.0459,2.1633,,,,
2025-12-11,2257329583552.0503,1.6519,,,,,15.8027,,,,,1.6593,,,,,17.4561,,,,,0.0459,2.1623,,,,
2025-12-10,2265769412308.5,1.6581,,,,,15.8617,,,,,1.6655,,,,,17.5213,,,,,0.0457,2.1703,,,,
2025-12-09,2270530341350.6,1.6616,,,,,15.8951,,,,,1.6690,,,,,17.5581,,,,,0.0456,2.1749,,,,
2025-12-08,2261657700863.0503,1.6551,,,,,15.8329,,,,,1.6625,,,,,17.4895,,,,,0.0458,2.1664,,,,
2025-12-05,2282432663955.85,1.6703,,,,,15.9784,,,,,1.6778,,,,,17.6502,,,,,0.0454,2.1863,,,,
2025-12-04,2296282639351.05,1.6804,,,,,16.0753,,,,,1.6880,,,,,17.7573,,,,,0.0451,2.1996,,,,
2025-12-03,2307752150225.2,1.6888,,,,,16.1556,,,,,1.6964,,,,,17.8460,,,,,0.0449,2.2106,,,,
2025-12-02,2323116966679.25,1.7001,,,,,16.2632,,,,,1.7077,,,,,17.9648,,,,,0.0446,2.2253,,,,
2025-12-01,2316624790712.75,1.6953,,,,,16.2178,,,,,1.7029,,,,,17.9146,,,,,0.0447,2.2191,,,,
2025-11-28,2329813802539.5,1.7050,,,,,16.3101,,,,,1.7126,,,,,18.0166,,,,,0.0444,2.2317,,,,
2025-11-27,2341711644613.75,1.7137,,,,,16.3934,,,,,1.7214,,,,,18.1086,,,,,0.0442,2.2431,,,,
2025-11-26,2357287001510.95,1.7251,,,,,16.5024,,,,,1.7328,,,,,18.2290,,,,,0.0439,2.2580,,,,
2025-11-25,2350580945069.1,1.7202,,,,,16.4555,,,,,1.7279,,,,,18.1772,,,,,0.0441,2.2516,,,,
2025-11-24,2351878891477.2,1.7211,,,,,16.4646,,,,,1.7288,,,,,18.1872,,,,,0.0440,2.2528,,,,
2025-11-21,2346687105844.8003,1.7173,,,,,16.4282,,,,,1.7250,,,,,18.1471,,,,,0.0441,2.2479,,,,
2025-11-20,2351229918273.15,1.7206,,,,,16.4600,,,,,1.7283,,,,,18.1822,,,,,0.0440,2.2522,,,,
2025-11-19,2333923966165.15,1.7080,,,,,16.3389,,,,,1.7156,,,,,18.0484,,,,,0.0444,2.2356,,,,
2025-11-18,2332193370954.35,1.7067,,,,,16.3267,,,,,1.7144,,,,,18.0350,,,,,0.0444,2.2340,,,,
2025-11-17,2306883415996.4,1.6882,,,,,16.1496,,,,,1.6958,,,,,17.8393,,,,,0.0449,2.2097,,,,
2025-11-14,2319213906873.35,1.6972,,,,,16.2359,,,,,1.7048,,,,,17.9346,,,,,0.0447,2.2215,,,,
2025-11-13,2321809799689.55,1.6991,,,,,16.2541,,,,,1.7067,,,,,17.9547,,,,,0.0446,2.2240,,,,
2025-11-12,2349066674259.65,1.7191,,,,,16.4449,,,,,1.7268,,,,,18.1655,,,,,0.0441,2.2501,,,,
2025-11-11,2331977046553.0,1.7065,,,,,16.3252,,,,,1.7142,,,,,18.0333,,,,,0.0444,2.2338,,,,
2025-11-10,2330679100144.9,1.7056,,,,,16.3161,,,,,1.7132,,,,,18.0233,,,,,0.0444,2.2325,,,,
2025-11-07,2326568936519.25,1.7026,,,,,16.2874,,,,,1.7102,,,,,17.9915,,,,,0.0445,2.2286,,,,
2025-11-06,2318564933669.3003,1.6967,,,,,16.2313,,,,,1.7043,,,,,17.9296,,,,,0.0447,2.2209,,,,
2025-11-05,2318997582472.0,1.6970,,,,,16.2344,,,,,1.7047,,,,,17.9329,,,,,0.0447,2.2213,,,,
2025-11-04,2328948504934.1,1.7043,,,,,16.3040,,,,,1.7120,,,,,18.0099,,,,,0.0445,2.2309,,,,
2025-11-03,2306450767193.7,1.6879,,,,,16.1465,,,,,1.6954,,,,,17.8359,,,,,0.0449,2.2093,,,,
2025-10-31,2288495841881.65,1.6747,,,,,16.0208,,,,,1.6822,,,,,17.6971,,,,,0.0453,2.1921,,,,
2025-10-30,2301939624506.04,1.6846,,,,,16.1149,,,,,1.6921,,,,,17.8010,,,,,0.0450,2.2050,,,,
2025-10-29,2291775103428.27,1.6771,,,,,16.0438,,,,,1.6846,,,,,17.7224,,,,,0.0452,2.1953,,,,
2025-10-28,2306697485436.06,1.6880,,,,,16.1483,,,,,1.6956,,,,,17.8378,,,,,0.0449,2.2096,,,,
2025-10-27,2307562551059.7,1.6887,,,,,16.1543,,,,,1.6963,,,,,17.8445,,,,,0.0449,2.2104,,,,
2025-10-24,2311239079960.17,1.6914,,,,,16.1800,,,,,1.6990,,,,,17.8729,,,,,0.0448,2.2139,,,,
2025-10-23,2307346284653.79,1.6885,,,,,16.1528,,,,,1.6961,,,,,17.8428,,,,,0.0449,2.2102,,,,
2025-10-22,2296749230764.2,1.6808,,,,,16.0786,,,,,1.6883,,,,,17.7609,,,,,0.0451,2.2000,,,,
2025-10-21,2295019099516.92,1.6795,,,,,16.0665,,,,,1.6870,,,,,17.7475,,,,,0.0451,2.1984,,,,
2025-10-20,2330919322897.98,1.7391,,,,,16.3680,,,,,1.7391,,,,,18.2042,,,,,0.0444,2.2461,,,,
2025-10-17,2334163318986.6304,1.7415,,,,,16.3908,,,,,1.7416,,,,,18.2295,,,,,0.0444,2.2492,,,,
2025-10-16,2331568122115.71,1.7396,,,,,16.3726,,,,,1.7396,,,,,18.2093,,,,,0.0444,2.2467,,,,
2025-10-15,2316645740107.92,1.7285,,,,,16.2678,,,,,1.7285,,,,,18.0927,,,,,0.0447,2.2323,,,,
2025-10-14,2327026527591.6,1.7362,,,,,16.3407,,,,,1.7362,,,,,18.1738,,,,,0.0445,2.2423,,,,
2025-10-13,2312969211207.45,1.7257,,,,,16.2420,,,,,1.7257,,,,,18.0640,,,,,0.0448,2.2288,,,,
2025-10-10,2305183620594.69,1.7199,,,,,16.1873,,,,,1.7199,,,,,18.0032,,,,,0.0449,2.2213,,,,
2025-10-09,2280312983915.04,1.7014,,,,,16.0126,,,,,1.7014,,,,,17.8090,,,,,0.0454,2.1973,,,,
2025-09-30,2263876737065.8804,1.6891,,,,,15.8972,,,,,1.6891,,,,,17.6806,,,,,0.0457,2.1815,,,,
2025-09-29,2276262392456.64,1.6983,,,,,15.9842,,,,,1.6984,,,,,17.7773,,,,,0.0455,2.1934,,,,
2025-09-26,2287505329805.4,1.7067,,,,,16.0632,,,,,1.7067,,,,,17.8651,,,,,0.0453,2.2042,,,,
2025-09-25,2291829536478.0,1.7100,,,,,16.0935,,,,,1.7100,,,,,17.8989,,,,,0.0452,2.2084,,,,
2025-09-24,2303072473826.76,1.7183,,,,,16.1725,,,,,1.7184,,,,,17.9867,,,,,0.0450,2.2192,,,,
2025-09-23,2295505112149.71,1.7127,,,,,16.1193,,,,,1.7127,,,,,17.9276,,,,,0.0451,2.2119,,,,
2025-09-22,2269776082447.74,1.6935,,,,,15.9387,,,,,1.6935,,,,,17.7267,,,,,0.0456,2.1871,,,,
2025-09-19,2279721757794.7197,1.7009,,,,,16.0085,,,,,1.7009,,,,,17.8043,,,,,0.0454,2.1967,,,,
2025-09-18,2268911241113.2197,1.6929,,,,,15.9326,,,,,1.6929,,,,,17.7199,,,,,0.0456,2.1863,,,,
2025-09-17,2307829101166.62,1.7219,,,,,16.2059,,,,,1.7219,,,,,18.0239,,,,,0.0449,2.2238,,,,
2025-09-16,2313450569841.0,1.7261,,,,,16.2453,,,,,1.7261,,,,,18.0678,,,,,0.0448,2.2292,,,,
2025-09-15,2321882772852.57,1.7324,,,,,16.3046,,,,,1.7324,,,,,18.1336,,,,,0.0446,2.2373,,,,
2025-09-12,2329666344863.25,1.7382,,,,,16.3592,,,,,1.7382,,,,,18.1944,,,,,0.0445,2.2448,,,,
2025-09-11,2341557913212.9,1.7471,,,,,16.4427,,,,,1.7471,,,,,18.2873,,,,,0.0442,2.2563,,,,
2025-09-10,2345233488884.61,1.7498,,,,,16.4685,,,,,1.7498,,,,,18.3160,,,,,0.0442,2.2598,,,,
2025-09-09,2313450569841.0,1.7261,,,,,16.2453,,,,,1.7261,,,,,18.0678,,,,,0.0448,2.2292,,,,
2025-09-08,2337449916873.93,1.7440,,,,,16.4139,,,,,1.7440,,,,,18.2552,,,,,0.0443,2.2523,,,,
2025-09-05,2303504894494.02,1.7187,,,,,16.1755,,,,,1.7187,,,,,17.9901,,,,,0.0450,2.2196,,,,
2025-09-04,2308045311500.25,1.7221,,,,,16.2074,,,,,1.7221,,,,,18.0255,,,,,0.0449,2.2240,,,,
2025-09-03,2321882772852.57,1.7324,,,,,16.3046,,,,,1.7324,,,,,18.1336,,,,,0.0446,2.2373,,,,
2025-09-02,2332909499867.7,1.7406,,,,,16.3820,,,,,1.7406,,,,,18.2197,,,,,0.0444,2.2480,,,,
2025-09-01,2313234359507.37,1.7259,,,,,16.2438,,,,,1.7259,,,,,18.0661,,,,,0.0448,2.2290,,,,
2025-08-29,2366662370200.5,1.6973,,,,,16.6190,,,,,1.6973,,,,,18.4833,,,,,0.0438,2.2805,,,,
2025-08-28,2355207292061.63,1.6891,,,,,16.5386,,,,,1.6891,,,,,18.3939,,,,,0.0440,2.2695,,,,
2025-08-27,2351533021715.1997,1.6864,,,,,16.5128,,,,,1.6865,,,,,18.3652,,,,,0.0440,2.2659,,,,
