date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2025-07-23,28942811144.17,6.7422,,,,,0.0094,28.2434,,,,,4.3896,,,,,4.3896,,,,,29.2360,,,,
2025-07-22,29064906951.57,6.7706,,,,,0.0094,28.3625,,,,,4.4082,,,,,4.4082,,,,,29.3594,,,,
2025-07-21,27966044684.97,6.5146,,,,,0.0098,27.2902,,,,,4.2415,,,,,4.2415,,,,,28.2494,,,,
2025-07-18,28191921928.66,6.5672,,,,,0.0097,27.5106,,,,,4.2758,,,,,4.2758,,,,,28.4775,,,,
2025-07-17,28399484801.24,6.6156,,,,,0.0096,27.7132,,,,,4.3072,,,,,4.3072,,,,,28.6872,,,,
2025-07-16,28802400965.66,6.7094,,,,,0.0095,28.1063,,,,,4.3683,,,,,4.3683,,,,,29.0942,,,,
2025-07-15,28570418931.6,6.6554,,,,,0.0096,27.8800,,,,,4.3332,,,,,4.3332,,,,,28.8599,,,,
2025-07-14,28314017736.06,6.5957,,,,,0.0096,27.6298,,,,,4.2943,,,,,4.2943,,,,,28.6009,,,,
2025-07-11,27703538699.06,6.4535,,,,,0.0099,27.0340,,,,,4.2017,,,,,4.2017,,,,,27.9842,,,,
2025-07-10,27648595585.73,6.4407,,,,,0.0099,26.9804,,,,,4.1934,,,,,4.1934,,,,,27.9287,,,,
2025-07-09,28204131509.4,6.5701,,,,,0.0097,27.5225,,,,,4.2776,,,,,4.2776,,,,,28.4899,,,,
2025-07-08,29492242277.47,6.8701,,,,,0.0093,28.7795,,,,,4.4730,,,,,4.4730,,,,,29.7910,,,,
2025-07-07,29528871019.69,6.8787,,,,,0.0092,28.8153,,,,,4.4785,,,,,4.4785,,,,,29.8280,,,,
