日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=40.7000,=40.7000,=40.7000,=40.7000,=882759976172.8,=671185244769.0,=109007980491.3,,=18.5469,,,,
2026-07-02,=40.7700,=40.7700,=40.7700,=40.7700,=884278236574.0801,=672339617425.0,=109195463504.43,,=18.5788,,,,
2026-07-01,=39.4800,=39.4800,=39.4800,=39.4800,=856298866321.9199,=651066178463.0,=105740419405.32,,=17.9910,,,,
2026-06-30,=39.0400,=39.0400,=39.0400,=39.0400,=846755515228.16,=643810121763.0,=104561954751.36,,=17.7905,,,,
2026-06-29,=39.9800,=39.9800,=39.9800,=39.9800,=867143583473.9199,=659311697441.0,=107079583784.82,,=18.2188,,,,
2026-06-26,=39.5700,=39.5700,=39.5700,=39.5700,=858250915409.28,=652550371879.0,=105981468993.63,,=18.0320,,,,
2026-06-25,=39.4000,=39.4000,=39.4000,=39.4000,=854563711577.6,=649746895427.0,=105526153104.6,,=17.9545,,,,
2026-06-24,=40.0500,=40.0500,=40.0500,=40.0500,=868661843875.2,=660466070098.0,=107267066797.95,,=18.2507,,,,
2026-06-23,=40.6600,=40.6600,=40.6600,=40.6600,=881892398800.6399,=670525603250.0,=108900847340.94,,=18.5287,,,,
2026-06-22,=41.5100,=41.5100,=41.5100,=41.5100,=900328417959.0399,=684542985512.0,=111177426786.09,,=18.9161,,,,
2026-06-18,=41.2600,=41.2600,=41.2600,=41.2600,=894906059383.0399,=680420226023.0,=110507844596.34,,=18.8021,,,,
2026-06-17,=41.8600,=41.8600,=41.8600,=41.8600,=907919719965.44,=690314848796.0,=112114841851.74,,=19.0755,,,,
2026-06-16,=42.5200,=42.5200,=42.5200,=42.5200,=922234746606.08,=701198933847.0,=113882538832.68,,=19.3763,,,,
2026-06-15,=43.3900,=43.3900,=43.3900,=43.3900,=941104554450.56,=715546136867.0,=116212684853.01,,=19.7728,,,,
2026-06-12,=46.1400,=46.1400,=46.1400,=46.1400,=1000750498786.56,=760896491244.0,=123578088940.26,,=21.0259,,,,
2026-06-11,=47.2900,=47.2900,=47.2900,=47.2900,=1025693348236.16,=779861184892.0,=126658167013.11,,=21.5500,,,,
2026-06-10,=47.5100,=47.5100,=47.5100,=47.5100,=1030465023783.04,=783489213242.0,=127247399340.09,,=21.6502,,,,
2026-06-09,=48.9800,=48.9800,=48.9800,=48.9800,=1062348492209.92,=807731039036.0,=131184542615.82,,=22.3201,,,,
2026-06-08,=50.7600,=50.7600,=50.7600,=50.7600,=1100955685271.04,=837085086596.0,=135951967806.84,,=23.1313,,,,
2026-06-05,=48.5200,=48.5200,=48.5200,=48.5200,=1052371352430.08,=800145161577.0,=129952511386.68,,=22.1105,,,,
2026-06-04,=49.0200,=49.0200,=49.0200,=49.0200,=1063216069582.08,=808390680554.0,=131291675766.18,,=22.3383,,,,
2026-06-03,=48.8500,=48.8500,=48.8500,=48.8500,=1059528865750.4,=805587204102.0,=130836359877.15,,=22.2609,,,,
2026-06-02,=48.2400,=48.2400,=48.2400,=48.2400,=1046298310824.96,=795527670949.0,=129202579334.16,,=21.9829,,,,
2026-06-01,=49.0000,=49.0000,=49.0000,=49.0000,=1062782280896.0,=808060859795.0,=131238109191.0,,=22.3292,,,,
2026-05-29,=46.9200,=46.9200,=46.9200,=46.9200,=1017668257543.68,=773759500849.0,=125667185372.28,,=21.3814,,,,
2026-05-28,=46.1500,=46.1500,=46.1500,=46.1500,=1000967393129.6,=761061401623.0,=123604872227.85,,=21.0305,,,,
2026-05-27,=46.1000,=46.1000,=46.1000,=46.1000,=999882921414.4,=760236849726.0,=123470955789.9,,=21.0077,,,,
2026-05-26,=44.8000,=44.8000,=44.8000,=44.8000,=971686656819.2,=738798500384.0,=119989128403.2,,=20.4153,,,,
2026-05-25,=44.7800,=44.7800,=44.7800,=44.7800,=971252868133.12,=738468679625.0,=119935561828.02,,=20.4062,,,,
2026-05-22,=44.9800,=44.9800,=44.9800,=44.9800,=975590754993.92,=741766887216.0,=120471227579.82,,=20.4973,,,,
2026-05-21,=45.2600,=45.2600,=45.2600,=45.2600,=981663796599.04,=746384377843.0,=121221159632.34,,=20.6249,,,,
2026-05-20,=46.0000,=46.0000,=46.0000,=46.0000,=997713977984.0,=758587745930.0,=123203122914.0,,=20.9621,,,,
2026-05-19,=46.0700,=46.0700,=46.0700,=46.0700,=999232238385.28,=759742118587.0,=123390605927.13,,=20.9940,,,,
2026-05-18,=45.8500,=45.8500,=45.8500,=45.8500,=994460562838.4,=756114090237.0,=122801373600.15,,=20.8938,,,,
2026-05-15,=45.7000,=45.7000,=45.7000,=45.7000,=991207147692.8,=753640434544.0,=122399624286.3,,=20.8254,,,,
2026-05-14,=45.1700,=45.1700,=45.1700,=45.1700,=979711747511.68,=744900184427.0,=120980110044.03,,=20.5839,,,,
2026-05-13,=44.8000,=44.8000,=44.8000,=44.8000,=971686656819.2,=738798500384.0,=119989128403.2,,=20.4153,,,,
2026-05-12,=45.2000,=45.2000,=45.2000,=45.2000,=980362430540.8,=745394915566.0,=121060459906.8,,=20.5976,,,,
2026-05-11,=45.1700,=45.1700,=45.1700,=45.1700,=979711747511.68,=744900184427.0,=120980110044.03,,=20.5839,,,,
2026-05-08,=45.1800,=45.1800,=45.1800,=45.1800,=979928641854.72,=745065094807.0,=121006893331.62,,=20.5885,,,,
2026-05-07,=45.5900,=45.5900,=45.5900,=45.5900,=988821309919.36,=751826420368.0,=122105008122.81,,=20.7753,,,,
2026-05-06,=47.7300,=47.7300,=47.7300,=47.7300,=1035236699329.92,=787117241592.0,=127836631667.07,,=21.7505,,,,
2026-04-30,=48.0000,=48.0000,=48.0000,=48.0000,=1041092846592.0,=791569821840.0,=128559780432.0,,=21.8735,,,,
2026-04-29,=47.9800,=47.9800,=47.9800,=47.9800,=1040659057905.92,=791240001081.0,=128506213856.82,,=21.8644,,,,
2026-04-28,=48.1500,=48.1500,=48.1500,=48.1500,=1044346261737.6,=794043477533.0,=128961529745.85,,=21.9419,,,,
2026-04-27,=46.7800,=46.7800,=46.7800,=46.7800,=1014631736741.12,=771450755535.0,=125292219346.02,,=21.3176,,,,
2026-04-24,=47.1900,=47.1900,=47.1900,=47.1900,=1023524404805.76,=778212081096.0,=126390334137.21,,=21.0649,,,,
