日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=8.8600,=8.8600,=8.8600,=8.8600,=182232498375.64,=167305903922.0,=167305903921.62,,=1.5189,,,,
2026-07-02,=8.8100,=8.8100,=8.8100,=8.8100,=181204098271.94,=166361739678.0,=166361739678.27,,=1.5103,,,,
2026-07-01,=8.8400,=8.8400,=8.8400,=8.8400,=181821138334.16,=166928238224.0,=166928238224.28,,=1.5155,,,,
2026-06-30,=9.0300,=9.0300,=9.0300,=9.0300,=185729058728.22,=170516062349.0,=170516062349.01,,=1.5480,,,,
2026-06-29,=9.0600,=9.0600,=9.0600,=9.0600,=186346098790.44,=171082560895.0,=171082560895.02,,=1.5532,,,,
2026-06-26,=8.9300,=8.9300,=8.9300,=8.9300,=183672258520.82,=168627733862.0,=168627733862.31,,=1.5309,,,,
2026-06-25,=8.9800,=8.9800,=8.9800,=8.9800,=184700658624.52,=169571898106.0,=169571898105.66,,=1.5395,,,,
2026-06-24,=8.8100,=8.8100,=8.8100,=8.8100,=181204098271.94,=166361739678.0,=166361739678.27,,=1.5103,,,,
2026-06-23,=9.0300,=9.0300,=9.0300,=9.0300,=185729058728.22,=170516062349.0,=170516062349.01,,=1.5480,,,,
2026-06-22,=9.0800,=9.0800,=9.0800,=9.0800,=186757458831.92,=171460226592.0,=171460226592.36,,=1.5566,,,,
2026-06-18,=9.1200,=9.1200,=9.1200,=9.1200,=187580178914.88,=172215557987.0,=172215557987.04,,=1.5635,,,,
2026-06-17,=9.3000,=9.3000,=9.3000,=9.3000,=191282419288.2,=175614549263.0,=175614549263.1,,=1.5943,,,,
2026-06-16,=9.2300,=9.2300,=9.2300,=9.2300,=189842659143.02,=174292719322.0,=174292719322.41,,=1.5823,,,,
2026-06-15,=9.2500,=9.2500,=9.2500,=9.2500,=190254019184.5,=174670385020.0,=174670385019.75,,=1.5858,,,,
2026-06-12,=9.2400,=9.2400,=9.2400,=9.2400,=190048339163.76,=174481552171.0,=174481552171.08,,=1.5840,,,,
2026-06-11,=9.1200,=9.1200,=9.1200,=9.1200,=187580178914.88,=172215557987.0,=172215557987.04,,=1.5635,,,,
2026-06-10,=9.0700,=9.0700,=9.0700,=9.0700,=186551778811.18,=171271393744.0,=171271393743.69,,=1.5549,,,,
2026-06-09,=9.0700,=9.0700,=9.0700,=9.0700,=186551778811.18,=171271393744.0,=171271393743.69,,=1.5549,,,,
2026-06-08,=8.9800,=8.9800,=8.9800,=8.9800,=184700658624.52,=169571898106.0,=169571898105.66,,=1.5395,,,,
2026-06-05,=8.9900,=8.9900,=8.9900,=8.9900,=184906338645.26,=169760730954.0,=169760730954.33,,=1.5412,,,,
2026-06-04,=9.2500,=9.2500,=9.2500,=9.2500,=190254019184.5,=174670385020.0,=174670385019.75,,=1.5858,,,,
2026-06-03,=9.2600,=9.2600,=9.2600,=9.2600,=190459699205.24,=174859217868.0,=174859217868.42,,=1.5875,,,,
2026-06-02,=9.2800,=9.2800,=9.2800,=9.2800,=190871059246.72,=175236883566.0,=175236883565.76,,=1.5909,,,,
2026-06-01,=9.1800,=9.1800,=9.1800,=9.1800,=188814259039.32,=173348555079.0,=173348555079.06,,=1.5738,,,,
2026-05-29,=9.0400,=9.0400,=9.0400,=9.0400,=185934738748.96,=170704895198.0,=170704895197.68,,=1.5498,,,,
2026-05-28,=8.8400,=8.8400,=8.8400,=8.8400,=181821138334.16,=166928238224.0,=166928238224.28,,=1.5155,,,,
2026-05-27,=8.7200,=8.7200,=8.7200,=8.7200,=179352978085.28,=164662244040.0,=164662244040.24,,=1.4949,,,,
2026-05-26,=8.7500,=8.7500,=8.7500,=8.7500,=179970018147.5,=165228742586.0,=165228742586.25,,=1.5000,,,,
2026-05-25,=8.7500,=8.7500,=8.7500,=8.7500,=179970018147.5,=165228742586.0,=165228742586.25,,=1.5000,,,,
2026-05-22,=8.7100,=8.7100,=8.7100,=8.7100,=179147298064.54,=164473411192.0,=164473411191.57,,=1.4932,,,,
2026-05-21,=8.7400,=8.7400,=8.7400,=8.7400,=179764338126.76,=165039909738.0,=165039909737.58,,=1.4983,,,,
2026-05-20,=9.0100,=9.0100,=9.0100,=9.0100,=185317698686.74,=170138396652.0,=170138396651.67,,=1.5446,,,,
2026-05-19,=9.2200,=9.2200,=9.2200,=9.2200,=189636979122.28,=174103886474.0,=174103886473.74,,=1.5806,,,,
2026-05-18,=9.0500,=9.0500,=9.0500,=9.0500,=186140418769.7,=170893728046.0,=170893728046.35,,=1.5515,,,,
2026-05-15,=9.1400,=9.1400,=9.1400,=9.1400,=187991538956.36,=172593223684.0,=172593223684.38,,=1.5669,,,,
2026-05-14,=9.0400,=9.0400,=9.0400,=9.0400,=185934738748.96,=170704895198.0,=170704895197.68,,=1.5498,,,,
2026-05-13,=9.2400,=9.2400,=9.2400,=9.2400,=190048339163.76,=174481552171.0,=174481552171.08,,=1.5840,,,,
2026-05-12,=9.2300,=9.2300,=9.2300,=9.2300,=189842659143.02,=174292719322.0,=174292719322.41,,=1.5823,,,,
2026-05-11,=9.1900,=9.1900,=9.1900,=9.1900,=189019939060.06,=173537387928.0,=173537387927.73,,=1.5755,,,,
2026-05-08,=9.0700,=9.0700,=9.0700,=9.0700,=186551778811.18,=171271393744.0,=171271393743.69,,=1.5549,,,,
2026-05-07,=9.0600,=9.0600,=9.0600,=9.0600,=186346098790.44,=171082560895.0,=171082560895.02,,=1.5532,,,,
2026-05-06,=8.9200,=8.9200,=8.9200,=8.9200,=183466578500.08,=168438901014.0,=168438901013.64,,=1.5292,,,,
2026-04-30,=8.9900,=8.9900,=8.9900,=8.9900,=184906338645.26,=169760730954.0,=169760730954.33,,=1.5412,,,,
2026-04-29,=8.9900,=8.9900,=8.9900,=8.9900,=184906338645.26,=169760730954.0,=169760730954.33,,=1.5999,,,,
2026-04-28,=9.0900,=9.0900,=9.0900,=9.0900,=186963138852.66,=171649059441.0,=171649059441.03,,=1.6177,,,,
2026-04-27,=9.0200,=9.0200,=9.0200,=9.0200,=185523378707.48,=170327229500.0,=170327229500.34,,=1.6052,,,,
2026-04-24,=9.0700,=9.0700,=9.0700,=9.0700,=186551778811.18,=171271393744.0,=171271393743.69,,=1.6141,,,,
2026-04-23,=9.0900,=9.0900,=9.0900,=9.0900,=186963138852.66,=171649059441.0,=171649059441.03,,=1.6177,,,,
2026-04-22,=8.9600,=8.9600,=8.9600,=8.9600,=184289298583.04,=169194232408.0,=169194232408.32,,=1.5945,,,,
2026-04-21,=8.9100,=8.9100,=8.9100,=8.9100,=183260898479.34,=168250068165.0,=168250068164.97,,=1.5856,,,,
2026-04-20,=8.7700,=8.7700,=8.7700,=8.7700,=180381378188.98,=165606408284.0,=165606408283.59,,=1.5607,,,,
2026-04-17,=8.6900,=8.6900,=8.6900,=8.6900,=178735938023.06,=164095745494.0,=164095745494.23,,=1.5465,,,,
2026-04-16,=8.7600,=8.7600,=8.7600,=8.7600,=180175698168.24,=165417575435.0,=165417575434.92,,=1.5590,,,,
2026-04-15,=8.7700,=8.7700,=8.7700,=8.7700,=180381378188.98,=165606408284.0,=165606408283.59,,=1.5607,,,,
2026-04-14,=8.7000,=8.7000,=8.7000,=8.7000,=178941618043.8,=164284578343.0,=164284578342.9,,=1.5483,,,,
2026-04-13,=8.6900,=8.6900,=8.6900,=8.6900,=178735938023.06,=164095745494.0,=164095745494.23,,=1.5465,,,,
2026-04-10,=8.7100,=8.7100,=8.7100,=8.7100,=179147298064.54,=164473411192.0,=164473411191.57,,=1.5501,,,,
2026-04-09,=8.7000,=8.7000,=8.7000,=8.7000,=178941618043.8,=164284578343.0,=164284578342.9,,=1.5483,,,,
2026-04-08,=8.7800,=8.7800,=8.7800,=8.7800,=180587058209.72,=165795241132.0,=165795241132.26,,=1.5625,,,,
2026-04-07,=8.7000,=8.7000,=8.7000,=8.7000,=178941618043.8,=164284578343.0,=164284578342.9,,=1.5483,,,,
2026-04-03,=8.8100,=8.8100,=8.8100,=8.8100,=181204098271.94,=166361739678.0,=166361739678.27,,=1.5678,,,,
2026-04-02,=9.0100,=9.0100,=9.0100,=9.0100,=185317698686.74,=170138396652.0,=170138396651.67,,=1.6034,,,,
2026-04-01,=8.9500,=8.9500,=8.9500,=8.9500,=184083618562.3,=169005399560.0,=169005399559.65,,=1.5928,,,,
2026-03-31,=9.0500,=9.0500,=9.0500,=9.0500,=186140418769.7,=170893728046.0,=170893728046.35,,=1.6106,,,,
2026-03-30,=9.1500,=9.1500,=9.1500,=9.1500,=188197218977.1,=172782056533.0,=172782056533.05,,=1.6284,,,,
2026-03-27,=9.1600,=9.1600,=9.1600,=9.1600,=188402898997.84,=172970889382.0,=172970889381.72,,=1.6301,,,,
2026-03-26,=9.2500,=9.2500,=9.2500,=9.2500,=190254019184.5,=174670385020.0,=174670385019.75,,=1.6462,,,,
2026-03-25,=9.3300,=9.3300,=9.3300,=9.3300,=191899459350.42,=176181047809.0,=176181047809.11,,=1.6604,,,,
2026-03-24,=9.1400,=9.1400,=9.1400,=9.1400,=187991538956.36,=172593223684.0,=172593223684.38,,=1.6266,,,,
2026-03-23,=9.0400,=9.0400,=9.0400,=9.0400,=185934738748.96,=170704895198.0,=170704895197.68,,=1.6088,,,,
2026-03-20,=8.8600,=8.8600,=8.8600,=8.8600,=182232498375.64,=167305903922.0,=167305903921.62,,=1.5767,,,,
2026-03-19,=8.8500,=8.8500,=8.8500,=8.8500,=182026818354.9,=167117071073.0,=167117071072.95,,=1.5750,,,,
