date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,2443715832,0.1097,0.42,9028967210
2025-12-31,7038465194,0.1095,1.23,28873380467
2025-09-30,5322208031,0.1054,0.94,21627895206
2025-06-30,3914005024,0.1335,0.7,15229923078
2025-03-31,2202351512,0.1477,0.4,8315401481
2024-12-31,6344125969,0.1275,1.14,26900977517
2024-09-30,4814904159,0.1123,0.87,20399307961
2024-06-30,3453049852,0.1152,0.62,14155910143
2024-03-31,1918879887,0.1185,0.35,7693850351
2023-12-31,5626626092,-0.0921,1.01,24559312357
2023-09-30,4328680138,-0.0725,0.78,18650165497
2023-06-30,3096217774,-0.0876,0.56,12965546872
2023-03-31,1715567770,-0.062,0.37,6980985131
2022-12-31,6197716944,-0.0709,1.34,25609651543
2022-09-30,4667097323,-0.0086,1.01,19094298269
2022-06-30,3393320083,0.0121,0.73,13532152843
2022-03-31,1829044729,-0.0636,0.43,7209680842
2021-12-31,6670757812,0.0418,1.58,25004031043
2021-09-30,4707638893,0.0298,1.12,17994409675
2021-06-30,3352632668,0.0307,0.8,12332163131
2021-03-31,1953338259,0.2113,0.6,7157877339
2020-12-31,6402859992,0.1961,1.98,22791873936
2020-09-30,4571403806,0.192,1.41,17086156372
2020-06-30,3252695005,0.1827,1,11594629731
2020-03-31,1612628919,0.0917,0.6,5883827458
2019-12-31,5353185029,0.2264,1.98,19796889800
2019-09-30,3835135930,0.2248,1.42,14824449074
2019-06-30,2750172034,0.2234,1.02,10159964400
2019-03-31,1477138224,0.2281,0.55,5490145324
2018-12-31,4364813028,0.236,1.62,17034475127
2018-09-30,3131234430,0.2333,1.16,12711755900
2018-06-30,2248017782,0.233,0.83,8720047919
2018-03-31,1202770759,0.2311,0.45,4694422947
2017-12-31,3531436928,0.2421,1.31,14584310897
2017-09-30,2538935186,0.2449,0.94,10845807321
2017-06-30,1823187856,0.227,0.68,7437581123
2017-03-31,976954485,0.2065,0.36,4011026841
2016-12-31,2843133968,0.1329,1.05,12458558941
2016-09-30,2039461942,0.1077,0.76,8960335679
