date,应收账款,流动负债合计,流动比率,所有者权益合计,资产负债率,负债合计,资产合计,货币资金,有息负债率,流动资产合计,速动比率,长期负债合计
2026-03-31,27674296999,572006011,0.4185,140984834991,0.7301,381369945896,522354780887,86324396356.88,0.5475,0,0.3647,194018405594
2025-12-31,26293272964,956631679,0.4184,138113885671,0.7345,382037891180,520151776851,89891520173.28,0.5532,0,0.3611,192649844279
2025-09-30,26527043836,730415249,0.4951,138088862534,0.7333,379739497504,517828360038,88821383028.36,0.5502,3789322,0.432,208036006948
2025-06-30,27384175355,469703438,0.4762,135820525763,0.7339,374620760467,510441286230,86324396356.88,0.5538,0,0.4164,211789585275
2025-03-31,26626804015,608661043,0.4653,134832819869,0.7305,365446834001,500279653869,79190148724.08,0.5684,4931851,0.4002,212642483651
2024-12-31,28467398016,865338138,0.4988,131364747726,0.734,362571546090,493936293816,81687135395.56,0.5614,230089609,0.4219,209211693129
2024-09-30,23091020828,578684871,0.5146,130848307984,0.7273,348988694593,479837002577,97560836378.54,0.5686,498059596,0.4267,197490038240
2024-06-30,23087421740,536480719,0.4806,127171292705,0.7287,341632542591,468803835295,106835358301.18,0.5816,412613105,0.3977,190394906847
2024-03-31,23330032754,788196848,0.4641,124325758020,0.7347,344236795417,468562553437,90069876364.1,0.5938,639595826,0.4036,189548496784
2023-12-31,22045201137,814690106,0.4103,119426731487,0.7392,338472615385,457899346872,74196175381.12,0.5842,374184164,0.3496,175137974232
2023-09-30,20743533882,689713450,0.4771,118928741086,0.7302,321954543531,440883284617,65635078221.76,0.5686,373403541,0.3992,167180308538
2023-06-30,24435918007,353700182,0.5146,114943358583,0.7348,318550355722,433493714305,68310421084.06,0.56,0,0.4253,159161883598
2023-03-31,22487212304,457975034,0.5529,112766143325,0.7335,310304912363,423071055687,67775352511.6,0.5492,0,0.4529,156162944544
2022-12-31,20974238931,702944011,0.489,110271454718,0.7329,302580430730,412851885448,76158093480.14,0.5475,0,0.4009,149640259388
2022-09-30,21743027265,677339093,0.5412,114912615918,0.7165,290411948564,405324564482,72590969663.74,0.5122,0,0.4511,140160092185
2022-06-30,23308706080,341555366,0.5016,114396904670,0.7226,298036737906,412433642576,69737270610.62,0.5276,0,0.4098,143065987416
2022-03-31,21320687798,396551670,0.438,113872769088,0.7162,287435624601,401308393689,44945760086.64,0.5194,0,0.3477,132378112571
2021-12-31,20440118772,680975825,0.421,111172413712,0.7206,286736405211,397908818923,56538912489.94,0.5216,0,0.3318,132019230311
2021-09-30,22137308569,468281442,0.4646,114635743070,0.6994,266772565581,381408308651,57965762016.5,0.5033,0,0.3897,120311706131
2021-06-30,18805156113,379644412,0.4856,119635021618,0.6533,225392823284,345027844903,47750466763.35,0.5153,0,0.419,115418706340
2021-03-31,18084031868,509990529,0.4447,120975827264,0.6487,223416431915,344392259179,44999411065.05,0.4949,0,0.3896,110103460408
2020-12-31,13622706332,457758180,0.3664,118537646494,0.6683,238799707078,357337353571,44213395151.25,0.5141,0,0.3198,117201180203
2020-09-30,18845526747,494157209,0.5494,120441350769,0.6673,241597499068,362038849836,39693803646.9,0.4823,1451180,0.4714,126811263424
2020-06-30,17332059617,425865427,0.4571,118397586372,0.6731,243730357791,362127944163,36353236013.25,0.4929,0,0.3907,118399768108
2020-03-31,15110373195,702113787,0.456,118767503268,0.6724,243807276094,362574779362,39890307625.35,0.4909,2237322,0.3847,121535813619
2019-12-31,13658045668,0,0.3897,116648541196,0.6803,248199311913,364847853109,45981930969,0.506,0,0.3345,121589033043
2019-09-30,16775727138,0,0.4423,120294889449,0.677,252190176653,372485066102,46964450861.5,0.4967,0,0.3782,124589623312
2019-06-30,16041289759,0,0.3859,118320583579,0.6837,255812619715,374133203294,49912010539,0.5219,0,0.3295,122958371115
2019-03-31,13395182696,0,0.4003,117797196633,0.6847,255774123894,373571320526,52663066238,0.5011,0,0.3421,131794155786
2018-12-31,6117833768,0,0.2546,71282316988,0.7384,201229046720,272511363708,50305018496,0.5664,0,0.2112,103053094678
2018-09-30,10183144604,0,0.3984,73541392446,0.7365,205598601905,279139994351,50108514517.5,0.5609,0,0.3411,114607294561
2018-06-30,10508317636,0,0.3601,72747200239,0.7408,207925758504,280672958743,51484042367,0.5697,0,0.3105,115007916351
2018-03-31,9230273704,0,0.3356,74097172497,0.7347,205156301696,279253474193,58361681614.5,0.556,0,0.2913,115962341414
2017-12-31,5784794817,0,0.2312,72658813476,0.7349,201471112450,274129925925,61309241292,0.5548,0,0.2001,105591917802
2017-09-30,6536850436,0,0.2686,74006523682,0.7325,202674331823,276680855505,65239320862,0.5309,0,0.2315,106231404105
2017-06-30,6968324915,0,0.2401,72985976824,0.7342,201633228247,274619205072,70741432260,0.5229,0,0.2084,100906611573
2017-03-31,6364031677,0,0.2262,75502477671,0.7246,198604295788,274106773459,64060296991,0.5066,0,0.1967,94704297577
2016-12-31,5411418223,0,0.1755,74171559808,0.7266,197095385667,271266945475,62291761184.5,0.4813,0,0.146,91090866381
2016-09-30,7423045926,0,0.23,74334043307,0.7096,181605646696,255939690004,58165177636,0.5013,0,0.2029,85622137811
