date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2025-07-29,81893550428.25,11.3745,,,,,9.1429,,,,,1.0556,,,,,0.0296,1.0739,,,,,0.1606,,,,
2025-07-28,82724605485.45,11.4899,,,,,9.2357,,,,,1.0663,,,,,0.0293,1.0848,,,,,0.1622,,,,
2025-07-25,82966996543.8,11.5236,,,,,9.2627,,,,,1.0695,,,,,0.0292,1.0880,,,,,0.1627,,,,
2025-07-24,84421342893.9,11.7256,,,,,9.4251,,,,,1.0882,,,,,0.0287,1.1070,,,,,0.1655,,,,
2025-07-23,82551469015.2,11.4659,,,,,9.2163,,,,,1.0641,,,,,0.0294,1.0825,,,,,0.1619,,,,
2025-07-22,83417151366.45,11.5861,,,,,9.3130,,,,,1.0753,,,,,0.0291,1.0939,,,,,0.1636,,,,
2025-07-21,84490597482.0,11.7352,,,,,9.4328,,,,,1.0561,,,,,0.0287,1.0738,,,,,0.1657,,,,
2025-07-18,81616532075.85,11.3360,,,,,9.1120,,,,,1.0202,,,,,0.0297,1.0373,,,,,0.1600,,,,
2025-07-17,80231440313.85,11.1436,,,,,8.9573,,,,,1.0029,,,,,0.0302,1.0197,,,,,0.1573,,,,
2025-07-16,80369949490.05,11.1629,,,,,8.9728,,,,,1.0046,,,,,0.0302,1.0214,,,,,0.1576,,,,
2025-07-15,81062495371.05,11.2591,,,,,9.0501,,,,,1.0133,,,,,0.0299,1.0302,,,,,0.1589,,,,
2025-07-14,81720413958.0,11.3504,,,,,9.1236,,,,,1.0215,,,,,0.0297,1.0386,,,,,0.1602,,,,
2025-07-11,81304886429.4,11.2927,,,,,9.0772,,,,,1.0163,,,,,0.0298,1.0333,,,,,0.1594,,,,
2025-07-10,79850540079.3,11.0907,,,,,8.9148,,,,,0.9981,,,,,0.0304,1.0148,,,,,0.1566,,,,
2025-07-09,79331130668.55,11.0186,,,,,8.8568,,,,,0.9916,,,,,0.0306,1.0082,,,,,0.1555,,,,
2025-07-08,81062495371.05,11.2591,,,,,9.0501,,,,,1.0133,,,,,0.0299,1.0302,,,,,0.1589,,,,
2025-07-07,80577713254.35,11.1917,,,,,8.9960,,,,,1.0072,,,,,0.0301,1.0241,,,,,0.1580,,,,
