date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-15,1512403135770.88,12.1319,,,,,1.8067,,,,,1.8390,,,,,0.0362,12.3572,,,,,3.7119,,,,
2026-06-12,1585599264906.24,12.7191,,,,,1.8942,,,,,1.9280,,,,,0.0345,12.9553,,,,,3.8916,,,,
2026-06-11,1607463043738.88,12.8945,,,,,1.9203,,,,,1.9546,,,,,0.0340,13.1339,,,,,3.9452,,,,
2026-06-10,1618394933155.2,12.9822,,,,,1.9333,,,,,1.9679,,,,,0.0338,13.2233,,,,,3.9721,,,,
2026-06-09,1665449587599.36,13.3596,,,,,1.9895,,,,,2.0251,,,,,0.0329,13.6077,,,,,4.0875,,,,
2026-06-08,1738170417194.88,13.9430,,,,,2.0764,,,,,2.1136,,,,,0.0315,14.2019,,,,,4.2660,,,,
2026-06-05,1672103781157.12,13.4130,,,,,1.9975,,,,,2.0332,,,,,0.0327,13.6621,,,,,4.1039,,,,
2026-06-04,1684936868732.8,13.5159,,,,,2.0128,,,,,2.0488,,,,,0.0325,13.7669,,,,,4.1354,,,,
2026-06-03,1724386730539.52,13.8324,,,,,2.0599,,,,,2.0968,,,,,0.0317,14.0893,,,,,4.2322,,,,
2026-06-02,1672103781157.12,13.4130,,,,,1.9975,,,,,2.0332,,,,,0.0327,13.6621,,,,,4.1039,,,,
2026-06-01,1654992997722.88,13.2757,,,,,1.9771,,,,,2.0124,,,,,0.0331,13.5223,,,,,4.0619,,,,
2026-05-29,1635030417049.6,13.1156,,,,,1.9532,,,,,1.9881,,,,,0.0335,13.3592,,,,,4.0129,,,,
2026-05-28,1637882214288.64,13.1385,,,,,1.9566,,,,,1.9916,,,,,0.0334,13.3825,,,,,4.0199,,,,
2026-05-27,1620296131314.56,12.9974,,,,,1.9356,,,,,1.9702,,,,,0.0338,13.2388,,,,,3.9767,,,,
2026-05-26,1671628481617.28,13.4092,,,,,1.9969,,,,,2.0326,,,,,0.0327,13.6582,,,,,4.1027,,,,
2026-05-25,1645487006926.0798,13.1995,,,,,1.9657,,,,,2.0009,,,,,0.0333,13.4446,,,,,4.0386,,,,
2026-05-22,1702998251246.72,13.6608,,,,,2.0344,,,,,2.0708,,,,,0.0321,13.9145,,,,,4.1797,,,,
2026-05-21,1721534933300.48,13.8095,,,,,2.0565,,,,,2.0933,,,,,0.0318,14.0660,,,,,4.2252,,,,
2026-05-20,1786175670718.72,14.3280,,,,,2.1338,,,,,2.1719,,,,,0.0306,14.5941,,,,,4.3838,,,,
2026-05-19,1754805901089.28,14.0764,,,,,2.0963,,,,,2.1338,,,,,0.0312,14.3378,,,,,4.3069,,,,
2026-05-18,1753855302009.6,14.0688,,,,,2.0952,,,,,2.1326,,,,,0.0312,14.3301,,,,,4.3045,,,,
2026-05-15,1735318619955.8398,13.9201,,,,,2.0730,,,,,2.1101,,,,,0.0315,14.1786,,,,,4.2590,,,,
2026-05-14,1713930140663.04,13.7485,,,,,2.0475,,,,,2.0841,,,,,0.0319,14.0038,,,,,4.2065,,,,
2026-05-13,1721059633760.64,13.8057,,,,,2.0560,,,,,2.0928,,,,,0.0318,14.0621,,,,,4.2240,,,,
2026-05-12,1720109034680.96,13.7981,,,,,2.0548,,,,,2.0916,,,,,0.0318,14.0543,,,,,4.2217,,,,
2026-05-11,1722960831920.0,13.8209,,,,,2.0582,,,,,2.0951,,,,,0.0318,14.0776,,,,,4.2287,,,,
2026-05-08,1727713827318.4,13.8591,,,,,2.0639,,,,,2.1008,,,,,0.0317,14.1165,,,,,4.2404,,,,
2026-05-07,1728189126858.24,13.8629,,,,,2.0645,,,,,2.1014,,,,,0.0317,14.1203,,,,,4.2415,,,,
2026-05-06,1819446638507.52,14.5949,,,,,2.1735,,,,,2.2124,,,,,0.0301,14.8660,,,,,4.4655,,,,
2026-04-30,1900722859820.16,15.2469,,,,,2.2706,,,,,2.3112,,,,,0.0288,15.5301,,,,,4.6650,,,,
2026-04-29,1898821661660.8,15.2316,,,,,2.2683,,,,,2.3089,,,,,0.0288,15.5145,,,,,4.6603,,,,
2026-04-28,1890266269943.68,15.4836,,,,,2.3547,,,,,2.3994,,,,,0.0290,15.7026,,,,,4.7468,,,,
2026-04-27,1845112813658.88,15.1137,,,,,2.2985,,,,,2.3421,,,,,0.0297,15.3275,,,,,4.6334,,,,
2026-04-24,1824199633905.92,14.9424,,,,,2.2724,,,,,2.3156,,,,,0.0300,15.1538,,,,,4.5809,,,,
2026-04-23,1808039449551.36,14.8100,,,,,2.2523,,,,,2.2950,,,,,0.0303,15.0196,,,,,4.5403,,,,
2026-04-22,1762885993266.56,14.4402,,,,,2.1961,,,,,2.2377,,,,,0.0310,14.6445,,,,,4.4269,,,,
2026-04-21,1779521477160.96,14.5764,,,,,2.2168,,,,,2.2588,,,,,0.0308,14.7827,,,,,4.4687,,,,
2026-04-20,1766213090045.44,14.4674,,,,,2.2002,,,,,2.2419,,,,,0.0310,14.6721,,,,,4.4353,,,,
2026-04-17,1774768481762.56,14.5375,,,,,2.2109,,,,,2.2528,,,,,0.0308,14.7432,,,,,4.4568,,,,
2026-04-16,1756707099248.64,14.3896,,,,,2.1884,,,,,2.2299,,,,,0.0312,14.5931,,,,,4.4114,,,,
2026-04-15,1753380002469.76,14.3623,,,,,2.1842,,,,,2.2257,,,,,0.0312,14.5655,,,,,4.4030,,,,
2026-04-14,1791879265196.8,14.6777,,,,,2.2322,,,,,2.2745,,,,,0.0305,14.8853,,,,,4.4997,,,,
2026-04-13,1811366546330.24,14.8373,,,,,2.2565,,,,,2.2993,,,,,0.0302,15.0472,,,,,4.5487,,,,
2026-04-10,1810891246790.4,14.8334,,,,,2.2559,,,,,2.2987,,,,,0.0302,15.0432,,,,,4.5475,,,,
2026-04-09,1820872537127.04,14.9152,,,,,2.2683,,,,,2.3113,,,,,0.0317,15.1262,,,,,4.5725,,,,
2026-04-08,1776194380382.0798,14.5492,,,,,2.2126,,,,,2.2546,,,,,0.0325,14.7550,,,,,4.4603,,,,
2026-04-07,1889790970403.84,15.4797,,,,,2.3541,,,,,2.3988,,,,,0.0306,15.6987,,,,,4.7456,,,,
2026-04-03,1862223597093.12,15.2539,,,,,2.3198,,,,,2.3638,,,,,0.0310,15.4697,,,,,4.6764,,,,
2026-04-02,1869353090190.72,15.3123,,,,,2.3287,,,,,2.3729,,,,,0.0309,15.5289,,,,,4.6943,,,,
2026-04-01,1836557421941.76,15.0436,,,,,2.2878,,,,,2.3312,,,,,0.0315,15.2565,,,,,4.6119,,,,
2026-03-31,1901198159360.0,15.5731,,,,,2.3684,,,,,2.4133,,,,,0.0304,15.7934,,,,,4.7742,,,,
2026-03-30,1953481108742.4,16.0014,,,,,2.4335,,,,,2.4797,,,,,0.0296,16.2278,,,,,4.9055,,,,
2026-03-27,1952055210122.88,15.9897,,,,,2.4317,,,,,2.4778,,,,,0.0296,16.2159,,,,,4.9020,,,,
2026-03-26,1945401016565.12,15.7844,,,,,2.4764,,,,,2.5250,,,,,0.0340,16.4246,,,,,4.7800,,,,
2026-03-25,1928765532670.72,15.6495,,,,,2.4553,,,,,2.5034,,,,,0.0343,16.2842,,,,,4.7392,,,,
2026-03-24,1993881569628.8,16.1778,,,,,2.5382,,,,,2.5879,,,,,0.0303,16.8340,,,,,4.8992,,,,
2026-03-23,2001011062726.4,16.2356,,,,,2.5472,,,,,2.5972,,,,,0.0302,16.8942,,,,,4.9167,,,,
2026-03-20,1991980371469.44,16.1624,,,,,2.5357,,,,,2.5855,,,,,0.0303,16.8179,,,,,4.8945,,,,
2026-03-19,2007665256284.16,16.2896,,,,,2.5557,,,,,2.6058,,,,,0.0301,16.9503,,,,,4.9330,,,,
2026-03-18,1896445163961.6,15.3872,,,,,2.4141,,,,,2.4615,,,,,0.0319,16.0113,,,,,4.6597,,,,
2026-03-17,1923061938192.64,15.6032,,,,,2.4480,,,,,2.4960,,,,,0.0314,16.2360,,,,,4.7251,,,,
2026-03-16,1958709403680.64,15.8924,,,,,2.4934,,,,,2.5423,,,,,0.0308,16.5370,,,,,4.8127,,,,
2026-03-13,1996258067328.0,16.1971,,,,,2.5412,,,,,2.5910,,,,,0.0303,16.8540,,,,,4.9050,,,,
2026-03-12,2043788021312.0,16.5827,,,,,2.6017,,,,,2.6527,,,,,0.0296,17.2553,,,,,5.0218,,,,
2026-03-11,1984850878371.84,16.1045,,,,,2.5267,,,,,2.5762,,,,,0.0304,16.7577,,,,,4.8770,,,,
2026-03-10,1947777514264.32,15.8037,,,,,2.4795,,,,,2.5281,,,,,0.0310,16.4447,,,,,4.7859,,,,
2026-03-09,2060898804746.24,16.7216,,,,,2.6235,,,,,2.6749,,,,,0.0293,17.3998,,,,,5.0638,,,,
2026-03-06,1924487836812.16,15.6148,,,,,2.4498,,,,,2.4979,,,,,0.0314,16.2481,,,,,4.7286,,,,
2026-03-05,1977246085734.4,16.0428,,,,,2.5170,,,,,2.5663,,,,,0.0306,16.6935,,,,,4.8583,,,,
2026-03-04,2036658528214.4,16.5249,,,,,2.5926,,,,,2.6435,,,,,0.0297,17.1951,,,,,5.0043,,,,
2026-03-03,2063275302445.44,16.7408,,,,,2.6265,,,,,2.6780,,,,,0.0293,17.4198,,,,,5.0697,,,,
2026-03-02,1875531984208.64,15.2175,,,,,2.3875,,,,,2.4343,,,,,0.0322,15.8348,,,,,4.6084,,,,
2026-02-27,1704899449406.0798,13.8331,,,,,2.1703,,,,,2.2129,,,,,0.0354,14.3941,,,,,4.1891,,,,
2026-02-26,1685887467812.48,13.6788,,,,,2.1461,,,,,2.1882,,,,,0.0358,14.2336,,,,,4.1424,,,,
2026-02-25,1729615025477.76,14.0336,,,,,2.2018,,,,,2.2449,,,,,0.0349,14.6028,,,,,4.2498,,,,
2026-02-24,1769064887284.48,14.3537,,,,,2.2520,,,,,2.2961,,,,,0.0342,14.9359,,,,,4.3468,,,,
2026-02-13,1634555117509.76,13.2623,,,,,2.0807,,,,,2.1216,,,,,0.0370,13.8002,,,,,4.0163,,,,
2026-02-12,1689214564591.36,13.7058,,,,,2.1503,,,,,2.1925,,,,,0.0358,14.2617,,,,,4.1506,,,,
2026-02-11,1655468297262.72,13.4320,,,,,2.1074,,,,,2.1487,,,,,0.0365,13.9768,,,,,4.0676,,,,
2026-02-10,1631228020730.88,13.2353,,,,,2.0765,,,,,2.1172,,,,,0.0370,13.7721,,,,,4.0081,,,,
2026-02-09,1620296131314.56,13.1466,,,,,2.0626,,,,,2.1030,,,,,0.0373,13.6798,,,,,3.9812,,,,
2026-02-06,1630277421651.2,13.2276,,,,,2.0753,,,,,2.1160,,,,,0.0371,13.7641,,,,,4.0057,,,,
2026-02-05,1600808850181.12,12.9885,,,,,2.0378,,,,,2.0778,,,,,0.0377,13.5153,,,,,3.9333,,,,
2026-02-04,1616493734995.8398,13.1158,,,,,2.0578,,,,,2.0981,,,,,0.0374,13.6477,,,,,3.9719,,,,
2026-02-03,1605561845579.52,13.0271,,,,,2.0438,,,,,2.0839,,,,,0.0376,13.5555,,,,,3.9450,,,,
2026-02-02,1593679357083.52,12.9307,,,,,2.0287,,,,,2.0685,,,,,0.0379,13.4551,,,,,3.9158,,,,
2026-01-30,1688263965511.6802,13.6981,,,,,2.1491,,,,,2.1913,,,,,0.0358,14.2537,,,,,4.1482,,,,
2026-01-29,1731040924097.28,14.0452,,,,,2.2036,,,,,2.2468,,,,,0.0349,14.6148,,,,,4.2533,,,,
2026-01-28,1690640463210.88,13.7174,,,,,2.1521,,,,,2.1943,,,,,0.0357,14.2738,,,,,4.1541,,,,
2026-01-27,1580370969968.0,12.8227,,,,,2.0118,,,,,2.0512,,,,,0.0382,13.3428,,,,,3.8831,,,,
2026-01-26,1591778158924.1602,12.9152,,,,,2.0263,,,,,2.0660,,,,,0.0380,13.4391,,,,,3.9111,,,,
2026-01-23,1492440555097.6,12.1092,,,,,1.8998,,,,,1.9371,,,,,0.0405,12.6004,,,,,3.6671,,,,
2026-01-22,1512403135770.88,12.2712,,,,,1.9253,,,,,1.9630,,,,,0.0399,12.7689,,,,,3.7161,,,,
2026-01-21,1452515393751.04,11.7853,,,,,1.8490,,,,,1.8853,,,,,0.0416,12.2633,,,,,3.5690,,,,
2026-01-20,1408787836085.76,11.4305,,,,,1.7934,,,,,1.8285,,,,,0.0429,11.8941,,,,,3.4615,,,,
2026-01-19,1398806545749.12,11.3495,,,,,1.7806,,,,,1.8156,,,,,0.0432,11.8099,,,,,3.4370,,,,
2026-01-16,1394053550350.72,11.3110,,,,,1.7746,,,,,1.8094,,,,,0.0433,11.7697,,,,,3.4253,,,,
2026-01-15,1427799817679.36,11.5848,,,,,1.8176,,,,,1.8532,,,,,0.0423,12.0546,,,,,3.5082,,,,
2026-01-14,1405460739306.88,11.4035,,,,,1.7891,,,,,1.8242,,,,,0.0430,11.8660,,,,,3.4533,,,,
2026-01-13,1408312536545.92,11.4267,,,,,1.7927,,,,,1.8279,,,,,0.0429,11.8901,,,,,3.4604,,,,
2026-01-12,1359831983482.24,11.0333,,,,,1.7310,,,,,1.7650,,,,,0.0444,11.4808,,,,,3.3412,,,,
2026-01-09,1366010877500.16,11.0834,,,,,1.7389,,,,,1.7730,,,,,0.0442,11.5330,,,,,3.3564,,,,
2026-01-08,1349375393605.76,10.9485,,,,,1.7177,,,,,1.7514,,,,,0.0448,11.3925,,,,,3.3155,,,,
2026-01-07,1358881384402.56,11.0256,,,,,1.7298,,,,,1.7637,,,,,0.0445,11.4728,,,,,3.3389,,,,
2026-01-06,1415917329183.36,11.4884,,,,,1.8024,,,,,1.8378,,,,,0.0427,11.9543,,,,,3.4790,,,,
2026-01-05,1380269863695.36,11.1991,,,,,1.7570,,,,,1.7915,,,,,0.0438,11.6534,,,,,3.3915,,,,
2025-12-31,1434454011237.12,11.6388,,,,,1.8260,,,,,1.8618,,,,,0.0421,12.1108,,,,,3.5246,,,,
2025-12-30,1419244425962.24,11.5154,,,,,1.8067,,,,,1.8421,,,,,0.0426,11.9824,,,,,3.4872,,,,
2025-12-29,1375516868296.96,11.1606,,,,,1.7510,,,,,1.7853,,,,,0.0439,11.6132,,,,,3.3798,,,,
2025-12-26,1345572997287.04,10.9176,,,,,1.7129,,,,,1.7465,,,,,0.0449,11.3604,,,,,3.3062,,,,
2025-12-25,1337017605569.92,10.8482,,,,,1.7020,,,,,1.7354,,,,,0.0452,11.2882,,,,,3.2852,,,,
2025-12-24,1336067006490.24,10.8405,,,,,1.7008,,,,,1.7341,,,,,0.0452,11.2802,,,,,3.2828,,,,
2025-12-23,1336067006490.24,10.8405,,,,,1.7008,,,,,1.7341,,,,,0.0452,11.2802,,,,,3.2828,,,,
2025-12-22,1314203227657.6,10.6631,,,,,1.6729,,,,,1.7058,,,,,0.0460,11.0956,,,,,3.2291,,,,
2025-12-19,1320857421215.36,10.7171,,,,,1.6814,,,,,1.7144,,,,,0.0457,11.1517,,,,,3.2455,,,,
2025-12-18,1357930785322.88,11.0179,,,,,1.7286,,,,,1.7625,,,,,0.0445,11.4647,,,,,3.3366,,,,
2025-12-17,1342721200048.0,10.8945,,,,,1.7093,,,,,1.7428,,,,,0.0450,11.3363,,,,,3.2992,,,,
2025-12-16,1329888112472.32,10.7903,,,,,1.6929,,,,,1.7261,,,,,0.0454,11.2280,,,,,3.2677,,,,
2025-12-15,1346048296826.88,10.9215,,,,,1.7135,,,,,1.7471,,,,,0.0449,11.3644,,,,,3.3074,,,,
2025-12-12,1349850693145.6,10.9523,,,,,1.7183,,,,,1.7520,,,,,0.0448,11.3965,,,,,3.3167,,,,
2025-12-11,1340820001888.64,10.8790,,,,,1.7068,,,,,1.7403,,,,,0.0451,11.3203,,,,,3.2945,,,,
2025-12-10,1340820001888.64,10.8790,,,,,1.7068,,,,,1.7403,,,,,0.0451,11.3203,,,,,3.2945,,,,
2025-12-09,1341295301428.48,10.8829,,,,,1.7074,,,,,1.7409,,,,,0.0450,11.3243,,,,,3.2957,,,,
2025-12-08,1356504886703.36,11.0063,,,,,1.7268,,,,,1.7607,,,,,0.0445,11.4527,,,,,3.3331,,,,
2025-12-05,1375516868296.96,11.1606,,,,,1.7510,,,,,1.7853,,,,,0.0439,11.6132,,,,,3.3798,,,,
2025-12-04,1382171061854.72,11.2146,,,,,1.7595,,,,,1.7940,,,,,0.0437,11.6694,,,,,3.3961,,,,
2025-12-03,1365060278420.48,11.0757,,,,,1.7377,,,,,1.7718,,,,,0.0443,11.5249,,,,,3.3541,,,,
2025-12-02,1366961476579.84,11.0911,,,,,1.7401,,,,,1.7742,,,,,0.0442,11.5410,,,,,3.3588,,,,
2025-12-01,1353653089464.32,10.9832,,,,,1.7232,,,,,1.7570,,,,,0.0446,11.4286,,,,,3.3261,,,,
2025-11-28,1320857421215.36,10.7171,,,,,1.6814,,,,,1.7144,,,,,0.0457,11.1517,,,,,3.2455,,,,
2025-11-27,1334641107870.72,10.8289,,,,,1.6990,,,,,1.7323,,,,,0.0453,11.2681,,,,,3.2793,,,,
2025-11-26,1321808020295.04,10.7248,,,,,1.6826,,,,,1.7156,,,,,0.0457,11.1598,,,,,3.2478,,,,
2025-11-25,1338443504189.44,10.8598,,,,,1.7038,,,,,1.7372,,,,,0.0451,11.3002,,,,,3.2887,,,,
2025-11-24,1330838711552.0,10.7981,,,,,1.6941,,,,,1.7273,,,,,0.0454,11.2360,,,,,3.2700,,,,
2025-11-21,1374090969677.44,11.1490,,,,,1.7492,,,,,1.7835,,,,,0.0440,11.6012,,,,,3.3763,,,,
2025-11-20,1387874656332.8,11.2608,,,,,1.7667,,,,,1.8014,,,,,0.0435,11.7176,,,,,3.4101,,,,
2025-11-19,1403084241607.68,11.3842,,,,,1.7861,,,,,1.8211,,,,,0.0431,11.8460,,,,,3.4475,,,,
2025-11-18,1358406084862.72,11.0217,,,,,1.7292,,,,,1.7631,,,,,0.0445,11.4688,,,,,3.3377,,,,
2025-11-17,1376467467376.64,11.1683,,,,,1.7522,,,,,1.7866,,,,,0.0439,11.6213,,,,,3.3821,,,,
2025-11-14,1379319264615.68,11.1914,,,,,1.7558,,,,,1.7903,,,,,0.0438,11.6453,,,,,3.3891,,,,
2025-11-13,1376942766916.48,11.1721,,,,,1.7528,,,,,1.7872,,,,,0.0439,11.6253,,,,,3.3833,,,,
2025-11-12,1406411338386.56,11.4112,,,,,1.7903,,,,,1.8254,,,,,0.0430,11.8741,,,,,3.4557,,,,
2025-11-11,1371714471978.24,11.1297,,,,,1.7462,,,,,1.7804,,,,,0.0440,11.5811,,,,,3.3704,,,,
2025-11-10,1380269863695.36,11.1991,,,,,1.7570,,,,,1.7915,,,,,0.0438,11.6534,,,,,3.3915,,,,
2025-11-07,1352227190844.8,10.9716,,,,,1.7214,,,,,1.7551,,,,,0.0447,11.4166,,,,,3.3225,,,,
2025-11-06,1345097697747.2,10.9137,,,,,1.7123,,,,,1.7459,,,,,0.0449,11.3564,,,,,3.3050,,,,
2025-11-05,1320857421215.36,10.7171,,,,,1.6814,,,,,1.7144,,,,,0.0457,11.1517,,,,,3.2455,,,,
2025-11-04,1337492905109.76,10.8520,,,,,1.7026,,,,,1.7360,,,,,0.0452,11.2922,,,,,3.2863,,,,
2025-11-03,1350801292225.28,10.9600,,,,,1.7195,,,,,1.7533,,,,,0.0447,11.4046,,,,,3.3190,,,,
2025-10-31,1288537052506.24,10.4548,,,,,1.6403,,,,,1.6724,,,,,0.0469,10.8789,,,,,3.1661,,,,
2025-10-30,1283784057107.84,10.0501,,,,,1.7008,,,,,1.7358,,,,,0.0471,10.3906,,,,,3.1987,,,,
2025-10-29,1290438250665.6,10.1022,,,,,1.7096,,,,,1.7448,,,,,0.0468,10.4444,,,,,3.2153,,,,
2025-10-28,1290913550205.44,10.1059,,,,,1.7103,,,,,1.7455,,,,,0.0468,10.4483,,,,,3.2165,,,,
2025-10-27,1318005623976.32,10.3180,,,,,1.7461,,,,,1.7821,,,,,0.0458,10.6675,,,,,3.2840,,,,
2025-10-24,1298043043303.04,10.1618,,,,,1.7197,,,,,1.7551,,,,,0.0465,10.5060,,,,,3.2342,,,,
2025-10-23,1306598435020.16,10.2287,,,,,1.7310,,,,,1.7667,,,,,0.0462,10.5752,,,,,3.2556,,,,
2025-10-22,1289487651585.92,10.0948,,,,,1.7084,,,,,1.7435,,,,,0.0469,10.4367,,,,,3.2129,,,,
2025-10-21,1245760093920.64,9.7525,,,,,1.6504,,,,,1.6844,,,,,0.0485,10.0828,,,,,3.1040,,,,
2025-10-20,1240531798982.4,9.7115,,,,,1.6435,,,,,1.6773,,,,,0.0487,10.0405,,,,,3.0909,,,,
2025-10-17,1216291522450.56,9.5218,,,,,1.6114,,,,,1.6446,,,,,0.0497,9.8443,,,,,3.0305,,,,
2025-10-16,1255266084717.44,9.8269,,,,,1.5961,,,,,1.6276,,,,,0.0481,10.1597,,,,,3.1277,,,,
2025-10-15,1259068481036.16,9.8566,,,,,1.6009,,,,,1.6325,,,,,0.0480,10.1905,,,,,3.1371,,,,
2025-10-14,1260494379655.68,9.8678,,,,,1.6027,,,,,1.6344,,,,,0.0479,10.2021,,,,,3.1407,,,,
2025-10-13,1250988388858.88,9.7934,,,,,1.5906,,,,,1.6220,,,,,0.0483,10.1251,,,,,3.1170,,,,
2025-10-10,1272376868151.68,9.9608,,,,,1.6178,,,,,1.6498,,,,,0.0475,10.2982,,,,,3.1703,,,,
2025-10-09,1258117881956.48,9.8492,,,,,1.5997,,,,,1.6313,,,,,0.0480,10.1828,,,,,3.1348,,,,
2025-09-30,1241957697601.92,9.7227,,,,,1.5792,,,,,1.6103,,,,,0.0486,10.0520,,,,,3.0945,,,,
2025-09-29,1254790785177.6,9.8232,,,,,1.5955,,,,,1.6270,,,,,0.0482,10.1559,,,,,3.1265,,,,
2025-09-26,1259543780576.0,9.8604,,,,,1.6015,,,,,1.6331,,,,,0.0480,10.1944,,,,,3.1383,,,,
2025-09-25,1264296775974.4,9.8976,,,,,1.6076,,,,,1.6393,,,,,0.0478,10.2328,,,,,3.1502,,,,
2025-09-24,1251463688398.72,9.7971,,,,,1.5912,,,,,1.6227,,,,,0.0483,10.1290,,,,,3.1182,,,,
2025-09-23,1241007098522.24,9.7153,,,,,1.5779,,,,,1.6091,,,,,0.0487,10.0443,,,,,3.0921,,,,
2025-09-22,1243383596221.44,9.7339,,,,,1.5810,,,,,1.6122,,,,,0.0486,10.0636,,,,,3.0980,,,,
2025-09-19,1254790785177.6,9.8232,,,,,1.5955,,,,,1.6270,,,,,0.0482,10.1559,,,,,3.1265,,,,
2025-09-18,1243383596221.44,9.7339,,,,,1.5810,,,,,1.6122,,,,,0.0486,10.0636,,,,,3.0980,,,,
2025-09-17,1274278066311.04,9.9757,,,,,1.6203,,,,,1.6522,,,,,0.0474,10.3136,,,,,3.1750,,,,
2025-09-16,1259543780576.0,9.8604,,,,,1.6015,,,,,1.6331,,,,,0.0480,10.1944,,,,,3.1383,,,,
2025-09-15,1248611891159.68,9.7748,,,,,1.5876,,,,,1.6190,,,,,0.0484,10.1059,,,,,3.1111,,,,
2025-09-12,1250037789779.2,9.7860,,,,,1.5894,,,,,1.6208,,,,,0.0483,10.1174,,,,,3.1146,,,,
2025-09-11,1246235393460.48,9.7562,,,,,1.5846,,,,,1.6159,,,,,0.0485,10.0866,,,,,3.1052,,,,
2025-09-10,1241482398062.08,9.7190,,,,,1.5786,,,,,1.6097,,,,,0.0487,10.0482,,,,,3.0933,,,,
2025-09-09,1233402305884.8,9.6557,,,,,1.5683,,,,,1.5992,,,,,0.0490,9.9828,,,,,3.0732,,,,
2025-09-08,1242908296681.6,9.7301,,,,,1.5804,,,,,1.6116,,,,,0.0486,10.0597,,,,,3.0969,,,,
2025-09-05,1223421015548.16,9.5776,,,,,1.5556,,,,,1.5863,,,,,0.0494,9.9020,,,,,3.0483,,,,
2025-09-04,1218668020149.76,9.5404,,,,,1.5495,,,,,1.5801,,,,,0.0496,9.8635,,,,,3.0365,,,,
2025-09-03,1247185992540.16,9.7636,,,,,1.5858,,,,,1.6171,,,,,0.0484,10.0943,,,,,3.1075,,,,
2025-09-02,1253840186097.92,9.8157,,,,,1.5943,,,,,1.6257,,,,,0.0482,10.1482,,,,,3.1241,,,,
2025-09-01,1232927006344.96,9.6520,,,,,1.5677,,,,,1.5986,,,,,0.0490,9.9789,,,,,3.0720,,,,
2025-08-29,1220569218309.12,9.5553,,,,,1.5520,,,,,1.5826,,,,,0.0495,9.8789,,,,,3.0412,,,,
2025-08-28,1224846914167.68,9.5887,,,,,1.5574,,,,,1.5881,,,,,0.0493,9.9135,,,,,3.0519,,,,
2025-08-27,1210587927972.48,8.9820,,,,,1.6033,,,,,1.6364,,,,,0.0503,9.2447,,,,,2.9108,,,,
2025-08-26,1235778803584.0,9.1689,,,,,1.6367,,,,,1.6704,,,,,0.0493,9.4371,,,,,2.9714,,,,
