date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-04,298422991934.1,0.6876,,,,,0.9337,,,,,0.9377,,,,,0.0371,5.7142,,,,,5.5347,,,,
2026-06-03,301309094370.6,0.6943,,,,,0.9428,,,,,0.9468,,,,,0.0367,5.7694,,,,,5.5882,,,,
2026-06-02,304964824123.5,0.7027,,,,,0.9542,,,,,0.9583,,,,,0.0363,5.8394,,,,,5.6560,,,,
2026-06-01,308043333389.1001,0.7098,,,,,0.9638,,,,,0.9679,,,,,0.0359,5.8984,,,,,5.7131,,,,
2026-05-29,309582588021.9,0.7133,,,,,0.9687,,,,,0.9728,,,,,0.0357,5.9279,,,,,5.7416,,,,
2026-05-28,308043333389.1001,0.7098,,,,,0.9638,,,,,0.9679,,,,,0.0359,5.8984,,,,,5.7131,,,,
2026-05-27,313911741676.65,0.7233,,,,,0.9822,,,,,0.9864,,,,,0.0352,6.0108,,,,,5.8219,,,,
2026-05-26,319587743135.1,0.7364,,,,,1.0000,,,,,1.0042,,,,,0.0346,6.1194,,,,,5.9272,,,,
2026-05-25,320261167036.95,0.7380,,,,,1.0021,,,,,1.0063,,,,,0.0345,6.1323,,,,,5.9397,,,,
2026-05-22,316028216796.75,0.7282,,,,,0.9888,,,,,0.9930,,,,,0.0350,6.0513,,,,,5.8612,,,,
2026-05-21,317471268015.0,0.7315,,,,,0.9933,,,,,0.9976,,,,,0.0348,6.0789,,,,,5.8879,,,,
2026-05-20,321511811426.1001,0.7408,,,,,1.0060,,,,,1.0103,,,,,0.0344,6.1563,,,,,5.9629,,,,
2026-05-19,324301710448.05,0.7473,,,,,1.0147,,,,,1.0190,,,,,0.0341,6.2097,,,,,6.0146,,,,
2026-05-18,325840965080.85,0.7508,,,,,1.0195,,,,,1.0239,,,,,0.0340,6.2392,,,,,6.0432,,,,
2026-05-15,332286593855.7,0.7657,,,,,1.0397,,,,,1.0441,,,,,0.0333,6.3626,,,,,6.1627,,,,
2026-05-14,338443612386.9,0.7798,,,,,1.0590,,,,,1.0635,,,,,0.0327,6.4805,,,,,6.2769,,,,
2026-05-13,343831003601.7,0.7923,,,,,1.0758,,,,,1.0804,,,,,0.0322,6.5836,,,,,6.3768,,,,
2026-05-12,358069108955.1,0.8251,,,,,1.1204,,,,,1.1251,,,,,0.0309,6.8563,,,,,6.6409,,,,
2026-05-11,359704567002.45,0.8288,,,,,1.1255,,,,,1.1303,,,,,0.0308,6.8876,,,,,6.6712,,,,
2026-05-08,354990599689.5,0.8180,,,,,1.1107,,,,,1.1155,,,,,0.0312,6.7973,,,,,6.5838,,,,
2026-05-07,358934939686.0501,0.8271,,,,,1.1231,,,,,1.1279,,,,,0.0308,6.8729,,,,,6.6569,,,,
2026-05-06,356914667980.5,0.8224,,,,,1.1167,,,,,1.1215,,,,,0.0310,6.8342,,,,,6.6195,,,,
2026-04-30,358165312369.65,0.8253,,,,,1.1207,,,,,1.1254,,,,,0.0309,6.8581,,,,,6.6427,,,,
2026-04-29,361917245537.1,0.8339,,,,,1.1324,,,,,1.1372,,,,,0.0306,6.9300,,,,,6.7122,,,,
2026-04-28,349603208474.7,0.8034,,,,,1.1571,,,,,1.1623,,,,,0.0316,6.6807,,,,,6.5340,,,,
2026-04-27,349795615303.8,0.8038,,,,,1.1577,,,,,1.1629,,,,,0.0316,6.6844,,,,,6.5376,,,,
2026-04-24,352296904082.1,0.8096,,,,,1.1660,,,,,1.1713,,,,,0.0314,6.7322,,,,,6.5844,,,,
2026-04-23,355567820176.8,0.8171,,,,,1.1768,,,,,1.1821,,,,,0.0311,6.7947,,,,,6.6455,,,,
2026-04-22,356433650907.75,0.8191,,,,,1.1797,,,,,1.1850,,,,,0.0310,6.8113,,,,,6.6617,,,,
2026-04-21,356433650907.75,0.8191,,,,,1.1797,,,,,1.1850,,,,,0.0310,6.8113,,,,,6.6617,,,,
2026-04-20,360377990904.3,0.8282,,,,,1.1927,,,,,1.1981,,,,,0.0307,6.8866,,,,,6.7354,,,,
2026-04-17,359223549929.7,0.8255,,,,,1.1889,,,,,1.1943,,,,,0.0308,6.8646,,,,,6.7138,,,,
2026-04-16,364322330900.85,0.8372,,,,,1.2058,,,,,1.2112,,,,,0.0304,6.9620,,,,,6.8091,,,,
2026-04-15,365476771875.45,0.8399,,,,,1.2096,,,,,1.2151,,,,,0.0303,6.9841,,,,,6.8307,,,,
2026-04-14,369421111872.0,0.8489,,,,,1.2227,,,,,1.2282,,,,,0.0299,7.0595,,,,,6.9044,,,,
2026-04-13,362302059195.3,0.8326,,,,,1.1991,,,,,1.2045,,,,,0.0305,6.9234,,,,,6.7714,,,,
2026-04-10,371633790406.65,0.8540,,,,,1.2300,,,,,1.2355,,,,,0.0298,7.1017,,,,,6.9458,,,,
2026-04-09,368362874311.95,0.8465,,,,,1.2192,,,,,1.2247,,,,,0.0300,7.0392,,,,,6.8846,,,,
2026-04-08,383851624054.5,0.8821,,,,,1.2704,,,,,1.2762,,,,,0.0288,7.3352,,,,,7.1741,,,,
2026-04-07,358550126027.8501,0.8240,,,,,1.1867,,,,,1.1920,,,,,0.0309,6.8517,,,,,6.7012,,,,
2026-04-03,367689450410.1,0.8450,,,,,1.2169,,,,,1.2224,,,,,0.0301,7.0264,,,,,6.8721,,,,
2026-04-02,369324908457.45,0.8487,,,,,1.2224,,,,,1.2279,,,,,0.0300,7.0576,,,,,6.9026,,,,
2026-04-01,368555281141.0501,0.8469,,,,,1.2198,,,,,1.2253,,,,,0.0300,7.0429,,,,,6.8882,,,,
2026-03-31,356818464565.95,0.8200,,,,,1.1810,,,,,1.1863,,,,,0.0310,6.8186,,,,,6.6689,,,,
2026-03-30,352585514325.75,0.8103,,,,,1.1669,,,,,1.1722,,,,,0.0314,6.7377,,,,,6.5898,,,,
2026-03-27,357107074809.6,0.8206,,,,,1.1819,,,,,1.1872,,,,,0.0310,6.8241,,,,,6.6743,,,,
2026-03-26,356818464565.95,0.8139,,,,,1.2556,,,,,1.2616,,,,,0.0291,7.0374,,,,,6.8160,,,,
2026-03-25,369228705042.9,0.8422,,,,,1.2993,,,,,1.3055,,,,,0.0281,7.2822,,,,,7.0531,,,,
2026-03-24,361628635293.45,0.8248,,,,,1.2725,,,,,1.2786,,,,,0.0287,7.1323,,,,,6.9079,,,,
2026-03-23,359031143100.6,0.8189,,,,,1.2634,,,,,1.2694,,,,,0.0289,7.0811,,,,,6.8583,,,,
2026-03-20,376732571377.8,0.8593,,,,,1.3257,,,,,1.3320,,,,,0.0276,7.4302,,,,,7.1964,,,,
2026-03-19,382504776250.8,0.8724,,,,,1.3460,,,,,1.3524,,,,,0.0272,7.5440,,,,,7.3067,,,,
2026-03-18,392221321120.3501,0.8946,,,,,1.3802,,,,,1.3868,,,,,0.0265,7.7357,,,,,7.4923,,,,
2026-03-17,389623828927.5,0.8887,,,,,1.3710,,,,,1.3776,,,,,0.0267,7.6844,,,,,7.4427,,,,
2026-03-16,380965521618.0,0.8689,,,,,1.3406,,,,,1.3470,,,,,0.0273,7.5137,,,,,7.2773,,,,
2026-03-13,376828774792.3501,0.8595,,,,,1.3260,,,,,1.3324,,,,,0.0276,7.4321,,,,,7.1983,,,,
2026-03-12,379811080643.4,0.8663,,,,,1.3365,,,,,1.3429,,,,,0.0274,7.4909,,,,,7.2552,,,,
2026-03-11,379811080643.4,0.8663,,,,,1.3365,,,,,1.3429,,,,,0.0274,7.4909,,,,,7.2552,,,,
2026-03-10,376828774792.3501,0.8595,,,,,1.3260,,,,,1.3324,,,,,0.0276,7.4321,,,,,7.1983,,,,
2026-03-09,367497043581.0,0.8382,,,,,1.2932,,,,,1.2994,,,,,0.0283,7.2480,,,,,7.0200,,,,
2026-03-06,377502198694.2,0.8610,,,,,1.3284,,,,,1.3347,,,,,0.0275,7.4454,,,,,7.2111,,,,
2026-03-05,378464232839.7,0.8632,,,,,1.3318,,,,,1.3381,,,,,0.0275,7.4643,,,,,7.2295,,,,
2026-03-04,373750265526.75,0.8525,,,,,1.3152,,,,,1.3215,,,,,0.0278,7.3714,,,,,7.1395,,,,
2026-03-03,384332641127.25,0.8766,,,,,1.3524,,,,,1.3589,,,,,0.0270,7.5801,,,,,7.3416,,,,
2026-03-02,384717454785.45,0.8775,,,,,1.3538,,,,,1.3603,,,,,0.0270,7.5877,,,,,7.3489,,,,
2026-02-27,392606134778.5501,0.8955,,,,,1.3815,,,,,1.3881,,,,,0.0265,7.7433,,,,,7.4996,,,,
2026-02-26,394049185996.8,0.8988,,,,,1.3866,,,,,1.3932,,,,,0.0264,7.7717,,,,,7.5272,,,,
2026-02-25,405208782084.6,0.9242,,,,,1.4259,,,,,1.4327,,,,,0.0256,7.9918,,,,,7.7404,,,,
2026-02-24,409056918666.6001,0.9330,,,,,1.4394,,,,,1.4463,,,,,0.0254,8.0677,,,,,7.8139,,,,
2026-02-13,412616445004.95,0.9411,,,,,1.4519,,,,,1.4589,,,,,0.0252,8.1379,,,,,7.8819,,,,
2026-02-12,419350684023.45,0.9565,,,,,1.4756,,,,,1.4827,,,,,0.0248,8.2707,,,,,8.0105,,,,
2026-02-11,426373533285.6,0.9725,,,,,1.5003,,,,,1.5075,,,,,0.0244,8.4092,,,,,8.1447,,,,
2026-02-10,432434348402.25,0.9863,,,,,1.5217,,,,,1.5290,,,,,0.0240,8.5288,,,,,8.2604,,,,
2026-02-09,435031840595.1,0.9923,,,,,1.5308,,,,,1.5381,,,,,0.0239,8.5800,,,,,8.3101,,,,
2026-02-06,431087500598.5501,0.9833,,,,,1.5169,,,,,1.5242,,,,,0.0241,8.5022,,,,,8.2347,,,,
2026-02-05,430510280111.25,0.9819,,,,,1.5149,,,,,1.5222,,,,,0.0241,8.4908,,,,,8.2237,,,,
2026-02-04,430317873282.15,0.9815,,,,,1.5142,,,,,1.5215,,,,,0.0241,8.4870,,,,,8.2200,,,,
2026-02-03,423102617190.9,0.9650,,,,,1.4888,,,,,1.4960,,,,,0.0246,8.3447,,,,,8.0822,,,,
2026-02-02,426758346943.8,0.9734,,,,,1.5017,,,,,1.5089,,,,,0.0243,8.4168,,,,,8.1520,,,,
2026-01-30,438206553275.25,0.9995,,,,,1.5420,,,,,1.5494,,,,,0.0237,8.6426,,,,,8.3707,,,,
2026-01-29,444267368391.9,1.0133,,,,,1.5633,,,,,1.5708,,,,,0.0234,8.7622,,,,,8.4865,,,,
2026-01-28,425026685481.9,0.9694,,,,,1.4956,,,,,1.5028,,,,,0.0244,8.3827,,,,,8.1189,,,,
2026-01-27,425219092311.0,0.9699,,,,,1.4963,,,,,1.5035,,,,,0.0244,8.3865,,,,,8.1226,,,,
2026-01-26,416945598659.7,0.9510,,,,,1.4672,,,,,1.4742,,,,,0.0249,8.2233,,,,,7.9646,,,,
2026-01-23,403958137695.45,0.9214,,,,,1.4215,,,,,1.4283,,,,,0.0257,7.9671,,,,,7.7165,,,,
2026-01-22,414636716710.5,0.9457,,,,,1.4590,,,,,1.4660,,,,,0.0251,8.1778,,,,,7.9205,,,,
2026-01-21,422332989874.5,0.9633,,,,,1.4861,,,,,1.4933,,,,,0.0246,8.3295,,,,,8.0675,,,,
2026-01-20,425700109383.75,0.9710,,,,,1.4980,,,,,1.5052,,,,,0.0244,8.3960,,,,,8.1318,,,,
2026-01-19,424160854750.95,0.9675,,,,,1.4926,,,,,1.4997,,,,,0.0245,8.3656,,,,,8.1024,,,,
2026-01-16,425122888896.45,0.9697,,,,,1.4959,,,,,1.5031,,,,,0.0244,8.3846,,,,,8.1208,,,,
2026-01-15,432145738158.6001,0.9857,,,,,1.5206,,,,,1.5279,,,,,0.0240,8.5231,,,,,8.2549,,,,
2026-01-14,435705264496.95,0.9938,,,,,1.5332,,,,,1.5405,,,,,0.0238,8.5933,,,,,8.3229,,,,
2026-01-13,441669876199.05,1.0074,,,,,1.5542,,,,,1.5616,,,,,0.0235,8.7109,,,,,8.4369,,,,
2026-01-12,436571095227.9,0.9958,,,,,1.5362,,,,,1.5436,,,,,0.0238,8.6104,,,,,8.3395,,,,
2026-01-09,447345877657.5,1.0203,,,,,1.5741,,,,,1.5817,,,,,0.0232,8.8229,,,,,8.5453,,,,
2026-01-08,451675031312.25,1.0302,,,,,1.5894,,,,,1.5970,,,,,0.0230,8.9083,,,,,8.6280,,,,
2026-01-07,460718152279.95,1.0508,,,,,1.6212,,,,,1.6290,,,,,0.0226,9.0866,,,,,8.8007,,,,
2026-01-06,455523167894.25,1.0390,,,,,1.6029,,,,,1.6106,,,,,0.0228,8.9841,,,,,8.7015,,,,
2026-01-05,433492585962.3001,0.9887,,,,,1.5254,,,,,1.5327,,,,,0.0240,8.5496,,,,,8.2807,,,,
2025-12-31,403188510379.05,0.9196,,,,,1.4188,,,,,1.4256,,,,,0.0258,7.9520,,,,,7.7018,,,,
2025-12-30,403188510379.05,0.9196,,,,,1.4188,,,,,1.4256,,,,,0.0258,7.9520,,,,,7.7018,,,,
2025-12-29,406748036717.4,0.9277,,,,,1.4313,,,,,1.4381,,,,,0.0255,8.0222,,,,,7.7698,,,,
2025-12-26,407229053790.15,0.9288,,,,,1.4330,,,,,1.4398,,,,,0.0255,8.0317,,,,,7.7790,,,,
2025-12-25,410211359641.2,0.9356,,,,,1.4435,,,,,1.4504,,,,,0.0253,8.0905,,,,,7.8359,,,,
2025-12-24,399244170382.5,0.9106,,,,,1.4049,,,,,1.4116,,,,,0.0260,7.8742,,,,,7.6264,,,,
2025-12-23,401841662575.3501,0.9165,,,,,1.4140,,,,,1.4208,,,,,0.0259,7.9254,,,,,7.6761,,,,
2025-12-22,398282136237.0,0.9084,,,,,1.4015,,,,,1.4082,,,,,0.0261,7.8552,,,,,7.6081,,,,
2025-12-19,394818813313.2,0.9005,,,,,1.3893,,,,,1.3960,,,,,0.0263,7.7869,,,,,7.5419,,,,
2025-12-18,395203626971.4,0.9014,,,,,1.3907,,,,,1.3973,,,,,0.0263,7.7945,,,,,7.5493,,,,
2025-12-17,392413727949.45,0.8950,,,,,1.3808,,,,,1.3875,,,,,0.0265,7.7395,,,,,7.4960,,,,
2025-12-16,376636367963.25,0.8591,,,,,1.3253,,,,,1.3317,,,,,0.0276,7.4283,,,,,7.1946,,,,
2025-12-15,380773114788.9,0.8685,,,,,1.3399,,,,,1.3463,,,,,0.0273,7.5099,,,,,7.2736,,,,
2025-12-12,367881857239.2,0.8391,,,,,1.2945,,,,,1.3007,,,,,0.0282,7.2556,,,,,7.0274,,,,
2025-12-11,360474194318.85,0.8222,,,,,1.2684,,,,,1.2745,,,,,0.0288,7.1095,,,,,6.8858,,,,
2025-12-10,364707144559.05,0.8318,,,,,1.2833,,,,,1.2895,,,,,0.0285,7.1930,,,,,6.9667,,,,
2025-12-09,360762804562.5,0.8229,,,,,1.2695,,,,,1.2756,,,,,0.0288,7.1152,,,,,6.8914,,,,
2025-12-08,367881857239.2,0.8391,,,,,1.2945,,,,,1.3007,,,,,0.0282,7.2556,,,,,7.0274,,,,
2025-12-05,361821042122.55,0.8253,,,,,1.2732,,,,,1.2793,,,,,0.0287,7.1361,,,,,6.9116,,,,
2025-12-04,338636019216.0,0.7724,,,,,1.1916,,,,,1.1973,,,,,0.0307,6.6788,,,,,6.4687,,,,
2025-12-03,336711950925.0,0.7680,,,,,1.1848,,,,,1.1905,,,,,0.0309,6.6409,,,,,6.4319,,,,
2025-12-02,342580359212.55,0.7814,,,,,1.2055,,,,,1.2113,,,,,0.0303,6.7566,,,,,6.5440,,,,
2025-12-01,338347408972.3501,0.7717,,,,,1.1906,,,,,1.1963,,,,,0.0307,6.6731,,,,,6.4632,,,,
2025-11-28,334306865561.25,0.7625,,,,,1.1764,,,,,1.1820,,,,,0.0311,6.5934,,,,,6.3860,,,,
2025-11-27,337192967997.75,0.7691,,,,,1.1865,,,,,1.1922,,,,,0.0308,6.6504,,,,,6.4411,,,,
2025-11-26,332960017757.55,0.7594,,,,,1.1716,,,,,1.1773,,,,,0.0312,6.5669,,,,,6.3603,,,,
2025-11-25,336230933852.25,0.7669,,,,,1.1831,,,,,1.1888,,,,,0.0309,6.6314,,,,,6.4227,,,,
2025-11-24,329977711906.5,0.7526,,,,,1.1611,,,,,1.1667,,,,,0.0315,6.5081,,,,,6.3033,,,,
2025-11-21,333152424586.65,0.7599,,,,,1.1723,,,,,1.1779,,,,,0.0312,6.5707,,,,,6.3639,,,,
2025-11-20,341906935310.7,0.7798,,,,,1.2031,,,,,1.2089,,,,,0.0304,6.7433,,,,,6.5312,,,,
2025-11-19,344696834332.65,0.7862,,,,,1.2129,,,,,1.2188,,,,,0.0301,6.7984,,,,,6.5845,,,,
2025-11-18,335365103121.3,0.7649,,,,,1.1801,,,,,1.1858,,,,,0.0310,6.6143,,,,,6.4062,,,,
2025-11-17,341233511408.85,0.7783,,,,,1.2007,,,,,1.2065,,,,,0.0304,6.7300,,,,,6.5183,,,,
2025-11-14,349122191401.95,0.7963,,,,,1.2285,,,,,1.2344,,,,,0.0298,6.8856,,,,,6.6690,,,,
2025-11-13,356433650907.75,0.8130,,,,,1.2542,,,,,1.2602,,,,,0.0291,7.0298,,,,,6.8087,,,,
2025-11-12,351142463107.5,0.8009,,,,,1.2356,,,,,1.2415,,,,,0.0296,6.9255,,,,,6.7076,,,,
2025-11-11,342387952383.45,0.7809,,,,,1.2048,,,,,1.2106,,,,,0.0303,6.7528,,,,,6.5404,,,,
2025-11-10,346813309452.75,0.7910,,,,,1.2204,,,,,1.2262,,,,,0.0300,6.8401,,,,,6.6249,,,,
2025-11-07,342580359212.55,0.7814,,,,,1.2055,,,,,1.2113,,,,,0.0303,6.7566,,,,,6.5440,,,,
2025-11-06,341425918237.95,0.7787,,,,,1.2014,,,,,1.2072,,,,,0.0304,6.7338,,,,,6.5220,,,,
2025-11-05,336904357754.1001,0.7684,,,,,1.1855,,,,,1.1912,,,,,0.0308,6.6447,,,,,6.4356,,,,
2025-11-04,340848697750.65,0.7774,,,,,1.1994,,,,,1.2051,,,,,0.0305,6.7225,,,,,6.5110,,,,
2025-11-03,337962595314.15,0.7708,,,,,1.1892,,,,,1.1949,,,,,0.0307,6.6655,,,,,6.4558,,,,
2025-10-31,341522121652.5,0.7790,,,,,1.2018,,,,,1.2075,,,,,0.0304,6.7357,,,,,6.5238,,,,
2025-10-30,363167889926.25,0.8859,,,,,1.3377,,,,,1.3444,,,,,0.0286,7.8936,,,,,7.6115,,,,
2025-10-29,361724838708.0,0.8824,,,,,1.3324,,,,,1.3391,,,,,0.0287,7.8622,,,,,7.5813,,,,
2025-10-28,358838736271.5,0.8753,,,,,1.3218,,,,,1.3284,,,,,0.0290,7.7995,,,,,7.5208,,,,
2025-10-27,357203278224.15,0.8713,,,,,1.3158,,,,,1.3224,,,,,0.0291,7.7639,,,,,7.4865,,,,
2025-10-24,358069108955.1,0.8734,,,,,1.3189,,,,,1.3256,,,,,0.0290,7.7828,,,,,7.5046,,,,
2025-10-23,359223549929.7,0.8763,,,,,1.3232,,,,,1.3298,,,,,0.0289,7.8078,,,,,7.5288,,,,
2025-10-22,357876702126.0,0.8730,,,,,1.3182,,,,,1.3249,,,,,0.0290,7.7786,,,,,7.5006,,,,
2025-10-21,359127346515.15,0.8760,,,,,1.3228,,,,,1.3295,,,,,0.0289,7.8058,,,,,7.5268,,,,
2025-10-20,356626057736.85,0.8699,,,,,1.3136,,,,,1.3202,,,,,0.0291,7.7514,,,,,7.4744,,,,
2025-10-17,353547548471.25,0.8624,,,,,1.3023,,,,,1.3088,,,,,0.0294,7.6845,,,,,7.4099,,,,
2025-10-16,362686872853.5,0.8847,,,,,1.3360,,,,,1.3427,,,,,0.0286,7.8831,,,,,7.6014,,,,
2025-10-15,354990599689.5,0.8659,,,,,1.3076,,,,,1.3142,,,,,0.0293,7.7158,,,,,7.4401,,,,
2025-10-14,346332292380.0,0.8448,,,,,1.2757,,,,,1.2821,,,,,0.0300,7.5277,,,,,7.2587,,,,
2025-10-13,335942323608.6001,0.8195,,,,,1.2374,,,,,1.2437,,,,,0.0309,7.3018,,,,,7.0409,,,,
2025-10-10,337289171412.3001,0.8228,,,,,1.2424,,,,,1.2486,,,,,0.0308,7.3311,,,,,7.0691,,,,
2025-10-09,335557509950.4,0.8185,,,,,1.2360,,,,,1.2422,,,,,0.0310,7.2935,,,,,7.0328,,,,
2025-09-30,337866391899.6,0.8242,,,,,1.2445,,,,,1.2508,,,,,0.0308,7.3436,,,,,7.0812,,,,
2025-09-29,342291748968.9,0.8350,,,,,1.2608,,,,,1.2672,,,,,0.0304,7.4398,,,,,7.1740,,,,
2025-09-26,338636019216.0,0.8260,,,,,1.2474,,,,,1.2536,,,,,0.0307,7.3604,,,,,7.0974,,,,
2025-09-25,334499272390.3501,0.8159,,,,,1.2321,,,,,1.2383,,,,,0.0311,7.2705,,,,,7.0107,,,,
2025-09-24,336038527023.15,0.8197,,,,,1.2378,,,,,1.2440,,,,,0.0309,7.3039,,,,,7.0429,,,,
2025-09-23,334691679219.45,0.8164,,,,,1.2328,,,,,1.2390,,,,,0.0310,7.2746,,,,,7.0147,,,,
2025-09-22,335268899706.75,0.8178,,,,,1.2350,,,,,1.2412,,,,,0.0310,7.2872,,,,,7.0268,,,,
2025-09-19,335653713364.95,0.8188,,,,,1.2364,,,,,1.2426,,,,,0.0310,7.2956,,,,,7.0348,,,,
2025-09-18,337000561168.65,0.8221,,,,,1.2413,,,,,1.2476,,,,,0.0308,7.3248,,,,,7.0631,,,,
2025-09-17,345370258234.5,0.8425,,,,,1.2722,,,,,1.2786,,,,,0.0301,7.5067,,,,,7.2385,,,,
2025-09-16,348833581158.3,0.8509,,,,,1.2849,,,,,1.2914,,,,,0.0298,7.5820,,,,,7.3111,,,,
2025-09-15,355952633835.0,0.8683,,,,,1.3112,,,,,1.3177,,,,,0.0292,7.7368,,,,,7.4603,,,,
2025-09-12,359031143100.6,0.8758,,,,,1.3225,,,,,1.3291,,,,,0.0289,7.8037,,,,,7.5248,,,,
2025-09-11,366919823093.7,0.8950,,,,,1.3515,,,,,1.3583,,,,,0.0283,7.9751,,,,,7.6901,,,,
2025-09-10,360185584075.2,0.8786,,,,,1.3267,,,,,1.3334,,,,,0.0288,7.8288,,,,,7.5490,,,,
2025-09-09,360281787489.75,0.8788,,,,,1.3271,,,,,1.3338,,,,,0.0288,7.8309,,,,,7.5510,,,,
2025-09-08,361243821635.25,0.8812,,,,,1.3306,,,,,1.3373,,,,,0.0288,7.8518,,,,,7.5712,,,,
2025-09-05,365957788948.2,0.8927,,,,,1.3480,,,,,1.3548,,,,,0.0284,7.9542,,,,,7.6700,,,,
2025-09-04,364803347973.6001,0.8899,,,,,1.3438,,,,,1.3505,,,,,0.0285,7.9291,,,,,7.6458,,,,
2025-09-03,371729993821.2,0.9068,,,,,1.3693,,,,,1.3761,,,,,0.0280,8.0797,,,,,7.7910,,,,
2025-09-02,383178200152.65,0.9347,,,,,1.4114,,,,,1.4185,,,,,0.0271,8.3285,,,,,8.0309,,,,
2025-09-01,380965521618.0,0.9293,,,,,1.4033,,,,,1.4103,,,,,0.0273,8.2804,,,,,7.9845,,,,
2025-08-29,387795964051.0501,0.9460,,,,,1.4284,,,,,1.4356,,,,,0.0268,8.4289,,,,,8.1277,,,,
2025-08-28,384236437712.7,0.9549,,,,,1.5174,,,,,1.5256,,,,,0.0270,8.9779,,,,,8.9716,,,,
2025-08-27,382312369421.7,0.9501,,,,,1.5098,,,,,1.5179,,,,,0.0272,8.9329,,,,,8.9267,,,,
2025-08-26,393664372338.6001,0.9783,,,,,1.5546,,,,,1.5630,,,,,0.0264,9.1982,,,,,9.1918,,,,
2025-08-25,399917594284.35,0.9939,,,,,1.5793,,,,,1.5878,,,,,0.0260,9.3443,,,,,9.3378,,,,
2025-08-22,392317524534.9,0.9750,,,,,1.5493,,,,,1.5577,,,,,0.0265,9.1667,,,,,9.1603,,,,
2025-08-21,383851624054.5,0.9540,,,,,1.5159,,,,,1.5240,,,,,0.0271,8.9689,,,,,8.9626,,,,
